"jobTitle","company","meanPay"
"Customer Service - Hourly","Scheels","$10/hr"
"Customer Service - Hourly","Booking.com","$15/hr"
"Customer Service - Hourly","SYKES","$10/hr"
"Customer Service - Hourly","Trader Joe's","$15/hr"
"Customer Service - Hourly","Nordstrom","$13/hr"
"Customer Service","Crate and Barrel","$41,275/yr"
"Customer Service - Hourly","Continuant","$13/hr"
"Customer Service - Hourly","Waldbaum","$10/hr"
"Customer Service","UCBH Holdings","$31,554/yr"
"Customer Service - Hourly","H E B","$11/hr"
"Customer Service - Hourly","Williams-Sonoma","$12/hr"
"Customer Service - Hourly","American Airlines","$14/hr"
"Customer Service - Hourly","Einstein Bros. Bagels","$10/hr"
"Customer Service","Allstate","$19,021/yr"
"Customer Service - Hourly","Office Depot","$10/hr"
"Customer Service - Hourly","Anthem Blue Cross and Blue Shield","$17/hr"
"Customer Service - Hourly","Harris Teeter","$11/hr"
"Customer Service - Hourly","Archstone","$17/hr"
"Customer Service - Hourly","Life Extension","$15/hr"
"Customer Service - Hourly","Amazon","$13/hr"
"Customer Service","T-Mobile","$33,504/yr"
"Customer Service","Amazon","$36,822/yr"
"Customer Service - Hourly","HomeAdvisor","$12/hr"
"Customer Service - Hourly","7-Eleven","$11/hr"
"Customer Service - Hourly","Kohl's","$13/hr"
"Customer Service - Hourly","Pinkberry","$10/hr"
"Customer Service - Hourly","Moxie Pest Control","$13/hr"
"Customer Service - Hourly","United Airlines","$14/hr"
"Customer Service - Hourly","Family Video","$9/hr"
"Customer Service - Hourly","Starbucks","$11/hr"
"Customer Service - Hourly","Medtronic","$18/hr"
"Customer Service - Hourly","Marshalls","$10/hr"
"Customer Service - Hourly","Aramark","$12/hr"
"Customer Service - Hourly","Academy Sports + Outdoors","$10/hr"
"Customer Service - Hourly","Ace Hardware","$12/hr"
"Customer Service - Hourly","Sprint","$16/hr"
"Customer Service - Hourly","Dunkin' Donuts","$9/hr"
"Customer Service - Hourly","Utah Retirement Systems","$17/hr"
"Customer Service - Hourly","Uline","$20/hr"
"Customer Service - Hourly","Ross Stores","$9/hr"
"Customer Service - Hourly","Aramark","$10/hr"
"Customer Service","Honeywell","$41,739/yr"
"Customer Service - Hourly","NIKE","$11/hr"
"Customer Service - Hourly","J. C. Penney","$10/hr"
"Customer Service","Aramark","$36,209/yr"
"Customer Service - Hourly","Asurion","$11/hr"
"Customer Service","Chubb","$41,196/yr"
"Customer Service - Hourly","ABC Financial","$13/hr"
"Customer Service","Wegmans Food Markets","$40,627/yr"
"Customer Service","Time Warner Cable","$39,993/yr"
"Customer Service","CenturyLink","$46,841/yr"
"Customer Service","Vantiv","$32,013/yr"
"Customer Service","Overstock.com","$27,994/yr"
"Customer Service","The Home Depot","$26,654/yr"
"Customer Service - Hourly","C3/CustomerContactChannels","$12/hr"
"Customer Service - Hourly","Arise","$10/hr"
"Customer Service - Hourly","Jewel-Osco","$11/hr"
"Customer Service - Hourly Intern","Snap! Raise","$15/hr"
"Customer Service","PNC Financial Services Group","$33,204/yr"
"Customer Service - Hourly","Bass Pro Shops","$10/hr"
"Customer Service - Hourly","Concentrix","$10/hr"
"Customer Service - Hourly","Bed Bath & Beyond","$12/hr"
"Customer Service - Hourly","Toys ""R"" Us","$9/hr"
"Customer Service - Hourly","eBay","$13/hr"
"Customer Service - Hourly","Blazing Saddles","$16/hr"
"Customer Service","Cartus","$46,098/yr"
"Customer Service - Hourly","Natural Grocers by Vitamin Cottage","$13/hr"
"Customer Service - Hourly","Sedgwick Claims Management Services","$13/hr"
"Customer Service","JetBlue","$60,924/yr"
"Customer Service - Hourly","Fry's Electronics","$11/hr"
"Customer Service - Hourly","Burlington Stores","$11/hr"
