date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Mon Jul 22 2019 21:24:11 GMT-0700 (Pacific Daylight Time), Senior Technical Program Manager,"San Diego, CA",Current Employee ,Great company!,I have been working at Intuit full-time for more than 5 years,,"Interesting projects, great people, work life balance, benefits",Internal tools can slow work,,4.0,5.0,5.0,4.0,5.0,4.0
Fri Jul 19 2019 13:36:20 GMT-0700 (Pacific Daylight Time), Software Engineer Staff,,Current Employee ,General Thoughts of the Company,I have been working at Intuit full-time for more than 3 years,1,Very good Benefits and flexible working schedule. Lots of technologies to play around with and they are very interested in improving your quality of life both at home and at work.,"I've seen many times now that the wrong people get promoted and they loose some really good talent because they fail to recognize until it's too late. This is very similar to most companies though to be fair.

If you are someone that can handle watching this type of scenario and be complacent then this won't bother you, but if you are bothered, this is absolutely frustrating.","Recognize key players in the org and utilize them to help weed out others that don't align with the key values. 

One key factor lacking is the ""correct"" mind set for most of the engineers",4.0,5.0,5.0,4.0,4.0,4.0
Sat Jul 06 2019 23:10:48 GMT-0700 (Pacific Daylight Time), Staff Software Engineer,"Mountain View, CA",Current Employee ,Great company to work. Work/Life balance.,I have been working at Intuit full-time for more than a year,,very good culture. Lot of great benefits. lot of spotlight bonuses. competitive salary.,compensation is relatively less than big competitor like Google and Facebook.,,5.0,5.0,5.0,5.0,5.0,4.0
Wed Aug 07 2019 10:26:04 GMT-0700 (Pacific Daylight Time), Program Manager,,Former Employee ,Harassed and Laid Off,I worked at Intuit full-time,3,"Benefits, pay, coworkers are nice","Very difficult for women to get ahead in positions outside of care
Male managers hold meetings at gun ranges without female managers invited
Harassment is waved away because reporting it will affect future career movement within the company",,1.0,,,,,
Mon Jul 01 2019 08:24:17 GMT-0700 (Pacific Daylight Time), Business Manager,,Former Employee ,Great Place To Work,I worked at Intuit full-time for more than 10 years,,"Outstanding culture and values and for the most part, people do operate with integrity and support those leadership values",Hard to get new ideas off the ground quickly!,,5.0,,,,,
Sun Jul 14 2019 09:03:14 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,,Current Employee ,N/A,I have been working at Intuit full-time,,"Work life balance
The people are great","Big company
Innovation can be slow",,4.0,,,,,
Fri Jun 28 2019 12:28:44 GMT-0700 (Pacific Daylight Time), Director,,Former Employee ,"Best leadership, culture, products and growth",I worked at Intuit full-time for more than a year,,"Best leadership, culture, products and growth","Hiring more remote employees can open up broader opportunities to smart, hungry, humble, diverse talent.",,5.0,5.0,5.0,5.0,5.0,5.0
Thu Jun 13 2019 14:04:07 GMT-0700 (Pacific Daylight Time), Tax Senior Associate,"Fayetteville, AR",Current Employee ,Great Company,I have been working at Intuit full-time for more than 3 years,4,"I work seasonally for Intuit. My title is Senior Tax Expert and I work from my own home. Everyone from my manager down to my co-workers are so supportive and they want you to succeed to the highest of your abilities. If you get into trouble, you can ask for help and get it quickly and everyone is willing to help you. The training is is good and you need to be fast, fast,fast.","There should be more training regarding the metrics because Turbotax uses the metrics to make their decisions about the employees. I can be too slow to ask for help, so my suggestion is when you realize your metrics are staying too low, ask you manager to help you. When you succeed, your manager succeeds.",The training needs to cover not just the software but also be more up front about the metrics. Another bit of advice is to let the agents know how to handle the irate customer who screams. Let us know we do not have to put up with such demeaning behavior.,5.0,4.0,4.0,5.0,4.0,4.0
Tue Jun 25 2019 19:03:15 GMT-0700 (Pacific Daylight Time), Director,"Tucson, AZ",Current Employee ,"Great Company, Culture, and People",I have been working at Intuit full-time for more than 10 years,,"Customer focus, great people, and awesome culture of support and partnership","Matrix organization, combined with a culture that can sometimes be too ""nice"" can make decision making and resolution to escalations a challenge",,5.0,3.0,5.0,5.0,5.0,4.0
Wed Jun 26 2019 10:05:50 GMT-0700 (Pacific Daylight Time), Seasonal Tax Support,,Current Employee ,Great Company to work for,I have been working at Intuit part-time for more than 5 years,,Awesome support from managers and leads. Ability to pick your own schedule. Salary and yearly raises.,I wish it was a permanent position and not just seasonal,,5.0,,,,,
