"jobTitle","meanPay","Range"
"Developer Programs Engineer","$125,151/yr","Range: $96K - $162K"
"Legal Assistant","$62,505/yr","Range: $47K - $84K"
"Mechanical Engineer","$123,588/yr","Range: $95K - $160K"
"Software Engineer-II","$120,764/yr","Range: $102K - $146K"
"SWE - Monthly Intern","$7,116/mo","Range: $6K - $9K"
"Visual Data Specialist - Hourly Contractor","$16/hr","Range: $15 - $17"
"Administrative Assistant","$67,921/yr","Range: $49K - $87K"
"Technical Program Manager II","$147,943/yr","Range: $104K - $162K"
"Site Reliability Engineer III","$145,874/yr","Range: $128K - $171K"
"Recruiter - Hourly Contractor","$68/hr","Range: $35 - $89"
"Sales Associate","$55,023/yr","Range: $32K - $82K"
"Statistician","$144,288/yr","Range: $108K - $185K"
"Senior Business Analyst","$140,317/yr","Range: $88K - $184K"
"Hardware Test Engineer","$124,941/yr","Range: $88K - $204K"
"Senior Strategist","$118,871/yr","Range: $106K - $135K"
"Operations Manager","$132,493/yr","Range: $58K - $180K"
"Strategist","$92,603/yr","Range: $81K - $109K"
"Quantitative Marketing Manager","$136,045/yr","Range: $130K - $170K"
"Programmer","$86,142/yr","Range: $26K - $162K"
"MBA - Monthly Intern","$8,804/mo","Range: $9K - $9K"
"Manager, Online Sales & Operations","$134,246/yr","Range: $23K - $182K"
"Accountant","$74,182/yr","Range: $63K - $108K"
"Visual Designer","$126,443/yr","Range: $106K - $141K"
"Technical Project Manager","$135,550/yr","Range: $91K - $210K"
"Enterprise Program Manager","$121,783/yr","Range: $93K - $187K"
"Financial Analyst II","$121,295/yr","Range: $113K - $133K"
"Programmer Analyst","$79,769/yr","Range: $48K - $140K"
"Technical Support Engineer","$90,490/yr","Range: $53K - $118K"
"Account Coordinator","$56,657/yr","Range: $47K - $63K"
"Data Analyst - Hourly Contractor","$39/hr","Range: $29 - $52"
"Software Engineer - Contractor","$117,891/yr","Range: $90K - $149K"
"Release Engineer","$124,156/yr","Range: $99K - $185K"
"Group Product Manager","$275,113/yr","Range: $250K - $302K"
"Sourcer - Hourly Contractor","$51/hr","Range: $39 - $68"
"Regional Sales Manager","$145,355/yr","Range: $99K - $202K"
"Software Engineer - Hourly","$47/hr","Range: $27 - $130"
"Administrative Business Partner","$84,048/yr","Range: $70K - $96K"
"Software Engineer In Test III","$140,338/yr","Range: $114K - $149K"
"Partner Development Manager","$158,038/yr","Range: $122K - $189K"
"AdWords Account Strategist","$63,467/yr","Range: $51K - $100K"
"Google Specialist","$90,079/yr","Range: $42K - $130K"
"Marketing Director","$244,036/yr","Range: $95K - $445K"
"Senior Software Engineer In Test","$170,759/yr","Range: $140K - $190K"
"Technical Program Manager I","$107,720/yr","Range: $87K - $178K"
"Community Manager","$85,041/yr","Range: $50K - $137K"
