"jobTitle","meanPay","Range"
"Software Engineer (Senior Architect)","$132,329/yr","Range: $116K - $147K"
"Senior Solutions Architect","$180,937/yr","Range: $165K - $200K"
"Software Architect","$192,493/yr","Range: $142K - $219K"
"Intern - Monthly","$7,115/mo","Range: $5K - $8K"
"Senior Design Engineer","$150,829/yr","Range: $145K - $171K"
"Memory Validation Engineer","$103,222/yr","Range: $93K - $116K"
"Mechanical Engineer","$109,742/yr","Range: $100K - $138K"
"Senior Software Program Manager","$172,739/yr","Range: $153K - $224K"
"Senior Architecture Engineer","$130,944/yr","Range: $115K - $159K"
"Test Engineer II","$102,432/yr","Range: $97K - $109K"
"Architect (Computer) Senior","$134,961/yr","Range: $126K - $171K"
"Senior Manager","$170,583/yr","Range: $129K - $215K"
"Computer and Information Systems Manager","$168,689/yr","Range: $103K - $180K"
"Account Manager","$102,467/yr","Range: $42K - $147K"
"Mechanical Design Engineer","$108,579/yr","Range: $94K - $121K"
"Web Applications Administrator","$104,312/yr","Range: $97K - $112K"
"Program Manager III","$134,429/yr","Range: $121K - $144K"
"Software Engineer - Monthly Intern","$5,573/mo","Range: $5K - $6K"
"ASIC Engineer","$115,691/yr","Range: $107K - $129K"
"Lead Engineer","$158,549/yr","Range: $145K - $204K"
"Senior Software Engineer (Systems Software Engineer)","$162,522/yr","Range: $149K - $173K"
"Senior Software Engineer/Architect","$167,073/yr","Range: $113K - $238K"
"GPU Architect","$126,580/yr","Range: $108K - $140K"
"Senior Thermal Engineer","$158,934/yr","Range: $152K - $172K"
"Engineer, ASIC","$138,089/yr","Range: $135K - $166K"
"IT Manager","$160,824/yr","Range: $147K - $191K"
"Product Marketing Manager","$149,378/yr","Range: $142K - $152K"
"Performance Engineer","$81,978/yr","Range: $81K - $102K"
"Learning and Development Program Manager","$129,403/yr","Range: $90K - $144K"
"Principal Software Systems Engineer","$248,384/yr","Range: $134K - $275K"
"Systems Design Section Manager","$161,346/yr","Range: $146K - $173K"
"Product Test Engineer","$99,303/yr","Range: $66K - $142K"
"CAD Engineer","$119,379/yr","Range: $112K - $123K"
"Engineer, Systems Design","$108,092/yr","Range: $91K - $115K"
"NPI Program Manager","$159,775/yr","Range: $155K - $165K"
"Campaign Manager","$135,050/yr","Range: $123K - $141K"
"Applications Engineer III","$127,057/yr","Range: $119K - $140K"
"Automotive Quality Engineer","$113,941/yr","Range: $111K - $116K"
"Senior Marketing Manager","$173,354/yr","Range: $164K - $208K"
"Software Developer","$109,852/yr","Range: $96K - $155K"
"Summer - Hourly Intern","$52/hr","Range: $48 - $53"
"Senior Antenna Engineer","$164,035/yr","Range: $161K - $167K"
"Senior Validation Engineer","$109,656/yr","Range: $103K - $116K"
"Software Developer - Hourly Intern","$45/hr","Range: $42 - $51"
"Demand Planning Analyst","$86,393/yr","Range: $81K - $91K"
"Technical Marketing Analyst","$81,040/yr","Range: $67K - $96K"
"Section Manager Sales Operations","$131,508/yr","Range: $124K - $139K"
"Hardware Engineering Section Manager","$169,516/yr","Range: $162K - $177K"
"Core Test Engineer","$94,714/yr","Range: $90K - $99K"
"Cuda Product Manager","$135,815/yr","Range: $129K - $143K"
"Internship - Hourly","$35/hr","Range: $23 - $56"
"Senior Application Engineer","$152,938/yr","Range: $119K - $154K"
"Graphics Software Engineer - Hourly Intern","$36/hr","Range: $30 - $43"
"Senior Applications Engineer","$132,192/yr","Range: $126K - $147K"
"Quality Engineer III","$123,776/yr","Range: $118K - $129K"
"Senior PCB Designer","$159,673/yr","Range: $154K - $165K"
"Senior Automotive & Embedded Hardware Applications","$145,148/yr","Range: $136K - $155K"
"Business Systems Analyst - Advisory","$127,169/yr","Range: $122K - $133K"
"Senior Failure Analysis Engineer","$129,894/yr","Range: $122K - $137K"
"Validation Engineer","$114,589/yr","Range: $113K - $150K"
"Silicon Failure Analysis Engineer","$104,466/yr","Range: $99K - $110K"
"Product Engineering Section Manager","$142,959/yr","Range: $135K - $151K"
"Principal Software Engineer","$235,037/yr","Range: $223K - $267K"
"Senior BI Analyst","$137,285/yr","Range: $135K - $140K"
"Senior Hardware Quality Assurance Engineer","$117,909/yr","Range: $113K - $123K"
"Senior Product Yield Engineer","$147,894/yr","Range: $142K - $154K"
"Software Development Engineer - Hourly Intern","$38/hr","Range: $31 - $39"
"Product Design Engineer","$111,553/yr","Range: $106K - $117K"
"Software Engineer() - Hourly","$53/hr","Range: $41 - $63"
"Director of Notebook Product Marketing","$255,748/yr","Range: $237K - $274K"
"Human Interface Designer","$140,424/yr","Range: $135K - $146K"
"Senior Embedded Software Engineer","$120,692/yr","Range: $106K - $167K"
"Senior Software Engineering Manager","$228,071/yr","Range: $223K - $231K"
"Compensation Manager","$163,784/yr","Range: $152K - $176K"
"Verification - Hourly Intern","$30/hr","Range: $29 - $38"
"Architecture Engineer","$113,146/yr","Range: $106K - $116K"
"Senior Project Manager","$170,583/yr","Range: $162K - $174K"
"Performance Analyst","$80,038/yr","Range: $79K - $108K"
"Platform Architect","$133,900/yr","Range: $100K - $204K"
"Systems Product Engineer","$102,231/yr","Range: $97K - $108K"
"Developer/IT Staff","$143,312/yr","Range: $138K - $149K"
"Distinguished Engineer","$291,682/yr","Range: $286K - $296K"
"Tegra Platform Lead Power Architect","$232,094/yr","Range: $220K - $244K"
"Software Engineer() - Monthly Intern","$7,588/mo","Range: $6K - $8K"
"Engineer IV/Developer Technology Software","$180,589/yr","Range: $168K - $193K"
"Software Development Engineer","$83,015/yr","Range: $65K - $100K"
"Graphics Architect","$146,024/yr","Range: $141K - $147K"
"Senior Director","$291,632/yr","Range: $277K - $313K"
"Senior Test Automation Engineer","$111,584/yr","Range: $111K - $112K"
"Program Manager V","$181,402/yr","Range: $176K - $187K"
"Marketing","$156,258/yr","Range: $99K - $204K"
"Silicon Power Architect","$136,230/yr","Range: $131K - $142K"
"Signal Integrity Engineer","$97,772/yr","Range: $93K - $103K"
"Business Operations Manager","$129,128/yr","Range: $113K - $147K"
"Senior Software Manager","$247,622/yr","Range: $236K - $260K"
"Applications Architect","$170,228/yr","Range: $159K - $179K"
"Systems Test Engineer - Hourly","$39/hr","Range: $34 - $44"
"Operations Program Manager","$136,396/yr","Range: $127K - $146K"
"Interaction Design Lead","$142,099/yr","Range: $125K - $160K"
"Senior Software Development Engineer","$191,006/yr","Range: $175K - $208K"
"Thermal Engineer","$134,597/yr","Range: $123K - $144K"
"Business Development Manager","$194,118/yr","Range: $182K - $209K"
"Technical Product Marketing Manager","$134,977/yr","Range: $95K - $178K"
"Hardware Engineering - Hourly Intern","$36/hr","Range: $25 - $48"
"Senior DevOps Engineer","$183,795/yr","Range: $163K - $206K"
"Data Science - Hourly Intern","$47/hr","Range: $45 - $49"
"Program Manager IV","$153,722/yr","Range: $144K - $164K"
"Video Software Engineer","$124,206/yr","Range: $113K - $135K"
"Applied Engineer","$114,521/yr","Range: $100K - $130K"
"Senior Front End Engineer","$149,302/yr","Range: $125K - $175K"
"Software Engineer(Internship) - Hourly","$45/hr","Range: $42 - $48"
"Hardware Design Engineer","$130,995/yr","Range: $124K - $136K"
"Architecture - Hourly Intern","$44/hr","Range: $38 - $50"
"SAP Business Systems Analyst","$145,054/yr","Range: $122K - $167K"
"Senior Systems Architect","$186,166/yr","Range: $174K - $202K"
"Product Marketing Engineer","$136,128/yr","Range: $126K - $147K"
"Architect (Software Engineer) - Hourly Intern","$36/hr","Range: $32 - $41"
"Product Engineer II","$102,676/yr","Range: $92K - $115K"
"Staff QA","$126,915/yr","Range: $93K - $165K"
"Systems Design Manager","$127,971/yr","Range: $98K - $159K"
"Recruiting Coordinator - Hourly","$34/hr","Range: $29 - $38"
"Senior Technical Program Manager","$190,665/yr","Range: $173K - $209K"
"Interaction Designer","$104,659/yr","Range: $100K - $109K"
"Bioinformatics Scientist","$147,540/yr","Range: $143K - $152K"
"Senior Software Engineer - Architect","$169,869/yr","Range: $142K - $200K"
"Senior User Experience Designer","$178,259/yr","Range: $167K - $187K"
"Senior Graphic Designer","$104,937/yr","Range: $73K - $139K"
"Marketing Specialist","$93,498/yr","Range: $89K - $100K"
"Account Manager/Tegra Developer Relations","$180,347/yr","Range: $174K - $189K"
"R&D Engineer","$126,482/yr","Range: $114K - $139K"
"Staff Programmer/Analyst","$136,583/yr","Range: $122K - $154K"
"Senior Design Verification Engineer","$132,890/yr","Range: $122K - $143K"
"Financial Analyst - Hourly Intern","$25/hr","Range: $24 - $27"
"Sr. Software Engineer","$151,977/yr","Range: $139K - $164K"
"Senior Account Manager","$124,387/yr","Range: $111K - $137K"
"3D Artist","$149,330/yr","Range: $140K - $157K"
"Director of Software","$232,265/yr","Range: $171K - $300K"
"Web Engineer","$111,647/yr","Range: $108K - $117K"
"Sales Analyst","$115,432/yr","Range: $94K - $140K"
"Recruiter","$144,361/yr","Range: $122K - $168K"
"Devops Engineer","$145,816/yr","Range: $134K - $158K"
