"jobTitle","meanPay","Range"
"Director of Business Operations","$162,586/yr","Range: $153K - $172K"
"Strategy and Planning Manager","$116,612/yr","Range: $99K - $134K"
"Design Engineer","$112,266/yr","Range: $99K - $127K"
"Account Executive","$106,054/yr","Range: $60K - $156K"
"Marketing Campaign Manager","$115,545/yr","Range: $102K - $131K"
"Distinguished Engineer","$201,444/yr","Range: $170K - $234K"
"Field Sales Representative","$84,284/yr","Range: $75K - $94K"
"Software Designer","$91,080/yr","Range: $82K - $101K"
"Analyst","$78,964/yr","Range: $61K - $98K"
"Inside Sales Representative","$53,903/yr","Range: $51K - $56K"
"Entry Level Project Manager","$60,378/yr","Range: $49K - $74K"
"Director of Engineering","$205,205/yr","Range: $188K - $222K"
"User Experience Designer - Hourly Intern","$25/hr","Range: $20 - $29"
"Senior Business Operations Manager","$135,986/yr","Range: $119K - $152K"
"Digital Marketing Manager","$81,549/yr","Range: $65K - $99K"
"Sales Account Manager","$98,658/yr","Range: $83K - $117K"
"Oregon","$71,068/yr","Range: $66K - $76K"
"Electrical Engineer - Hourly Intern","$24/hr","Range: $22 - $25"
"Software Engineer II","$81,922/yr","Range: $76K - $89K"
"Sales Manager","$104,164/yr","Range: $53K - $158K"
"Software Architect","$135,392/yr","Range: $127K - $142K"
"Mechanical Design Engineer","$85,286/yr","Range: $72K - $99K"
"Software Engineer - Monthly","$5,789/mo","Range: $5K - $7K"
"Designer","$106,361/yr","Range: $96K - $118K"
"Hardware Design Engineer","$81,825/yr","Range: $75K - $89K"
"Expert Engineer","$116,301/yr","Range: $90K - $144K"
"Software Design Engineer","$101,940/yr","Range: $83K - $122K"
"Inside Sales","$49,908/yr","Range: $33K - $68K"
"Senior S/W Engineer","$105,179/yr","Range: $77K - $136K"
"Patent Attorney","$148,497/yr","Range: $111K - $189K"
"Intern - Monthly","$3,492/mo","Range: $3K - $4K"
"Senior Executive Assistant","$79,236/yr","Range: $73K - $86K"
"Software Engineer-II","$75,051/yr","Range: $61K - $91K"
"Strategist","$205,785/yr","Range: $198K - $214K"
"Computer Systems Engineer/Architect - Hourly","$40/hr","Range: $38 - $42"
"Business Analytics Consultant","$134,161/yr","Range: $129K - $139K"
"Account Sales Representative - Hourly","$14/hr","Range: $13 - $14"
"Corporate Strategy Associate","$128,200/yr","Range: $122K - $134K"
"ASIC Design Engineer","$76,563/yr","Range: $73K - $79K"
"User Interface and Interaction Designer - Hourly","$53/hr","Range: $51 - $56"
"IT Specialist - Hourly","$21/hr","Range: $20 - $22"
"Supervisor","$34,500/yr","Range: $33K - $36K"
"Contractor - Hourly","$19/hr","Range: $18 - $19"
"Business Development Specialist","$67,690/yr","Range: $65K - $71K"
"Processing","$75,597/yr","Range: $72K - $79K"
"Software Product Manager","$71,525/yr","Range: $68K - $74K"
"Lab - Hourly Intern","$17/hr","Range: $16 - $17"
"Product Owner","$73,501/yr","Range: $70K - $77K"
"Visual Designer","$63,781/yr","Range: $61K - $66K"
"Human Resources MAP - Hourly Intern","$39/hr","Range: $38 - $41"
"Planner","$57,434/yr","Range: $55K - $60K"
"Program Lead","$70,611/yr","Range: $68K - $74K"
"WW Product Management","$127,937/yr","Range: $122K - $133K"
"Coordinator - Hourly Contractor","$20/hr","Range: $20 - $21"
"Field Support Engineer","$69,108/yr","Range: $66K - $72K"
"Project Manager - Contractor","$58,270/yr","Range: $56K - $60K"
"IT Support Technician - Hourly Intern","$24/hr","Range: $23 - $25"
"Sales Management","$80,442/yr","Range: $77K - $84K"
"Contract Administrator","$53,548/yr","Range: $51K - $55K"
"Systems/Software Engineer II","$79,961/yr","Range: $77K - $84K"
"Database Engineer - Hourly","$40/hr","Range: $38 - $41"
"Network Engineer - Contractor","$108,339/yr","Range: $104K - $112K"
"Manual Tester - Hourly Contractor","$28/hr","Range: $27 - $29"
"Senior Software Engineer - Hourly Contractor","$91/hr","Range: $88 - $94"
"Vice President Sales","$296,736/yr","Range: $283K - $307K"
"Integrated Marketing Communications Manager","$114,280/yr","Range: $111K - $119K"
"Managing Director","$225,341/yr","Range: $217K - $234K"
"Key Account Executive","$85,379/yr","Range: $82K - $89K"
"User Experience Researcher - Hourly","$35/hr","Range: $33 - $36"
"Marketing Advocate","$97,117/yr","Range: $93K - $102K"
"Intermediate Mechanical Engineer","$85,351/yr","Range: $82K - $89K"
"Business Operations Analyst","$61,100/yr","Range: $58K - $63K"
"Customer Engagement Specialist","$48,500/yr","Range: $47K - $51K"
"Security Engineer","$81,622/yr","Range: $78K - $85K"
"HR Business Partner","$132,711/yr","Range: $127K - $138K"
"Senior Lead Software Engineer","$140,219/yr","Range: $133K - $147K"
"TechnicalMechanical Engineering - Hourly Intern","$24/hr","Range: $23 - $25"
"Sales Development Specialist","$102,236/yr","Range: $99K - $107K"
"Project Lead - Hourly Contractor","$21/hr","Range: $21 - $22"
"IT Professional","$168,392/yr","Range: $160K - $174K"
"Director, Customer Experience","$200,000/yr","Range: $194K - $207K"
"Executive Director","$110,045/yr","Range: $106K - $115K"
"Contract Administrator","$51,402/yr","Range: $49K - $54K"
"Data Scientist - Monthly","$10,216/mo","Range: $10K - $11K"
"Senior Software Designer","$146,062/yr","Range: $139K - $151K"
"Project Management - Hourly Intern","$27/hr","Range: $26 - $28"
"Senior Software Systems Engineer","$155,000/yr","Range: $148K - $162K"
"Senior Administrative Assistant - Hourly","$26/hr","Range: $25 - $27"
"Environmental Engineering - Hourly Intern","$26/hr","Range: $25 - $27"
"Brand Strategist","$130,218/yr","Range: $124K - $135K"
"Mechanical Engineer - Hourly","$46/hr","Range: $44 - $48"
"Marketing","$150,749/yr","Range: $143K - $157K"
"Field Service Technician - Monthly","$2,564/mo","Range: $2K - $3K"
