"jobTitle","meanPay","Range"
"Engineering Manager","$176,737/yr","Range: $146K - $194K"
"Software Developer - Hourly Intern","$23/hr","Range: $19 - $46"
"Engagement Manager","$152,048/yr","Range: $89K - $176K"
"Associate Consultant","$78,730/yr","Range: $72K - $92K"
"Senior Account Executive","$137,578/yr","Range: $83K - $154K"
"Senior Member Technical Staff (Software Engineer)","$141,779/yr","Range: $131K - $177K"
"Technical Trainer","$100,931/yr","Range: $73K - $122K"
"Senior Mmbr of Tech Staff (Software Engineer)","$148,305/yr","Range: $119K - $162K"
"Senior Technical Program Manager","$161,523/yr","Range: $135K - $217K"
"Senior Solutions Engineer","$154,327/yr","Range: $129K - $178K"
"Technical Support Engineer - Hourly","$35/hr","Range: $17 - $41"
"Senior Member of Technical Staff - Quality Engineering","$141,980/yr","Range: $119K - $151K"
"Inside Sales Associate","$68,551/yr","Range: $60K - $75K"
"Senior User Experience Designer","$153,518/yr","Range: $108K - $192K"
"Senior Technical Marketing Manager","$145,161/yr","Range: $113K - $173K"
"Senior Director Engineering","$257,018/yr","Range: $216K - $270K"
"Senior Web Developer","$129,113/yr","Range: $123K - $146K"
"IT Senior Manager","$174,913/yr","Range: $144K - $182K"
"Professional Services Consultant","$128,560/yr","Range: $98K - $144K"
"California","$116,817/yr","Range: $96K - $177K"
"Client Success Specialist","$59,146/yr","Range: $54K - $65K"
"Senior Quality Assurance Engineer","$138,756/yr","Range: $100K - $167K"
"QA II Engineer","$103,466/yr","Range: $96K - $116K"
"MTS-3","$138,014/yr","Range: $127K - $142K"
"Technical Support Engineer II - Hourly","$37/hr","Range: $30 - $42"
"Inside Sales","$56,113/yr","Range: $44K - $86K"
"Senior QA Manager","$163,929/yr","Range: $136K - $208K"
"Implementation Consultant","$75,922/yr","Range: $46K - $95K"
"Senior Solutions Architect","$183,551/yr","Range: $130K - $198K"
"Senior Interaction Designer","$141,860/yr","Range: $129K - $144K"
"Marketing Co-Op - Hourly Intern","$23/hr","Range: $21 - $25"
"Subject Matter Expert","$84,387/yr","Range: $77K - $93K"
"Senior Architect","$157,465/yr","Range: $145K - $179K"
"Strategic Account Executive","$119,466/yr","Range: $88K - $144K"
"Technical Consultant","$106,601/yr","Range: $80K - $129K"
"Member Technical Staff III","$125,151/yr","Range: $106K - $140K"
"Solutions Engineer","$132,095/yr","Range: $101K - $191K"
"User Experience Designer","$100,303/yr","Range: $63K - $127K"
"Marketing","$81,254/yr","Range: $40K - $127K"
"Senior Manager, IT","$159,363/yr","Range: $143K - $198K"
"SMTS Software Engineer","$127,653/yr","Range: $121K - $151K"
"Business Analyst - Hourly","$50/hr","Range: $27 - $83"
"Technical Writer","$67,167/yr","Range: $54K - $113K"
"Staff II Engineer","$201,828/yr","Range: $154K - $218K"
"Recruiter - Hourly Contractor","$83/hr","Range: $31 - $89"
"Developer","$84,842/yr","Range: $65K - $139K"
"Internship - Hourly","$41/hr","Range: $34 - $49"
"Senior Human Resources Program Manager","$162,467/yr","Range: $126K - $167K"
"Systems Administrator","$110,139/yr","Range: $78K - $125K"
"Intern - Monthly","$7,630/mo","Range: $7K - $8K"
"Director of Marketing","$200,080/yr","Range: $177K - $210K"
"Director, Product Marketing","$196,069/yr","Range: $142K - $240K"
"Inside Account Representative","$88,431/yr","Range: $43K - $127K"
"Partner Program Manager","$144,273/yr","Range: $102K - $188K"
"Senior Systems Administrator","$147,298/yr","Range: $132K - $156K"
"Inside Sales Account Manager","$63,715/yr","Range: $60K - $83K"
"Development Manager","$157,738/yr","Range: $129K - $194K"
"Senior Member of Technical Staff - Quality Engineer","$120,703/yr","Range: $119K - $129K"
"Associate Product Marketing Manager","$107,836/yr","Range: $80K - $127K"
"Senior Network Engineer","$96,180/yr","Range: $91K - $149K"
"Director of Product Management","$203,926/yr","Range: $187K - $224K"
"Operations Manager","$134,301/yr","Range: $106K - $153K"
"Technical Product Manager","$112,219/yr","Range: $109K - $178K"
"Senior ETL Engineer","$139,774/yr","Range: $136K - $143K"
"Inside Sales Manager","$101,840/yr","Range: $89K - $165K"
"Customer Success Manager","$147,728/yr","Range: $115K - $180K"
"Senior Software Developer","$105,701/yr","Range: $55K - $161K"
"Sales Specialist","$68,281/yr","Range: $63K - $152K"
"Vice President","$283,068/yr","Range: $255K - $357K"
"Software Engineering - Hourly Intern","$42/hr","Range: $35 - $46"
"Senior Client Executive","$158,146/yr","Range: $148K - $185K"
"Product Line Marketing Manager","$162,260/yr","Range: $153K - $173K"
"Technical Program Manager","$143,572/yr","Range: $134K - $157K"
"Senior Quality Engineering Manager","$163,608/yr","Range: $163K - $164K"
"Group Manager, Product Marketing","$185,110/yr","Range: $174K - $189K"
"Marketing Specialist","$92,806/yr","Range: $68K - $104K"
"Localization Project Manager","$108,802/yr","Range: $86K - $118K"
"Technical Services Manager","$115,217/yr","Range: $94K - $130K"
"Contracts Manager","$141,675/yr","Range: $87K - $162K"
"Network Systems Administrator","$132,108/yr","Range: $131K - $133K"
"Applications Developer","$123,174/yr","Range: $113K - $133K"
"Member of Technical Staff (Cpd)","$149,303/yr","Range: $109K - $149K"
"Project Manager - Contractor","$64,607/yr","Range: $56K - $151K"
"Senior Director Marketing","$256,408/yr","Range: $231K - $336K"
"Senior Site Reliability Engineer","$138,696/yr","Range: $130K - $167K"
"Project Coordinator","$89,230/yr","Range: $56K - $97K"
"Technical Support","$74,676/yr","Range: $46K - $78K"
"Inside Account Executive","$72,784/yr","Range: $45K - $80K"
"Information Security Analyst","$99,608/yr","Range: $50K - $102K"
"Site Reliability Engineer","$120,970/yr","Range: $107K - $150K"
"Product Marketing Manager - Monthly Intern","$9,016/mo","Range: $9K - $10K"
"Technical Recruiter","$140,470/yr","Range: $125K - $163K"
"Member of Technical Staff/Quality Engineer, Level III","$119,619/yr","Range: $106K - $120K"
"Strategic Account Manager","$131,046/yr","Range: $130K - $133K"
"Product Marketing Director","$215,341/yr","Range: $200K - $237K"
"Member Technical Staff, Software","$140,110/yr","Range: $122K - $140K"
"Technical Support Engineer III - Hourly","$44/hr","Range: $44 - $47"
"Analyst","$70,734/yr","Range: $67K - $97K"
"Interaction Designer","$114,919/yr","Range: $112K - $125K"
"Channel Account Manager","$80,548/yr","Range: $65K - $87K"
"Senior Sales Operations Analyst","$105,317/yr","Range: $99K - $105K"
"Software Quality Engineer","$81,548/yr","Range: $82K - $130K"
"Devops Engineer","$155,306/yr","Range: $89K - $158K"
"Mid Market Account Executive","$64,607/yr","Range: $53K - $65K"
"MTS1 Software Engineer","$93,348/yr","Range: $92K - $113K"
"Global Solutions Consultant","$166,088/yr","Range: $164K - $178K"
"Regional Account Executive","$81,345/yr","Range: $81K - $115K"
"Translator","$52,762/yr","Range: $46K - $79K"
"Release Manager","$154,343/yr","Range: $144K - $174K"
"MTS-2","$101,284/yr","Range: $93K - $114K"
"Technical Marketing Engineer","$151,863/yr","Range: $132K - $153K"
"Software Engineer - Monthly Intern","$9,194/mo","Range: $8K - $11K"
"Lead Application Developer","$143,536/yr","Range: $141K - $171K"
"IT Senior Project Manager","$149,303/yr","Range: $135K - $170K"
"Sales Manager","$95,671/yr","Range: $60K - $132K"
"Architect","$162,082/yr","Range: $150K - $206K"
"Group Product Marketing Manager","$205,710/yr","Range: $176K - $208K"
"Software Engineering Manager","$182,253/yr","Range: $167K - $184K"
"Senior Director, Product Management","$244,947/yr","Range: $204K - $252K"
"Sales Executive","$128,358/yr","Range: $127K - $140K"
"Staff Technical Support Engineer","$97,550/yr","Range: $81K - $108K"
"Administrative Assistant","$77,760/yr","Range: $60K - $86K"
"Product Management","$140,452/yr","Range: $95K - $150K"
"Georgia","$95,460/yr","Range: $85K - $112K"
"Senior Technical Support Engineer (III)","$93,522/yr","Range: $66K - $95K"
"QE Engineer","$116,126/yr","Range: $108K - $152K"
"Sr. Software Engineer","$155,503/yr","Range: $153K - $168K"
"Business Development Representative - Hourly","$21/hr","Range: $21 - $22"
"Senior Member of Technical Staff - Software QA Engine","$170,583/yr","Range: $111K - $173K"
"Business Analyst - Hourly Intern","$29/hr","Range: $29 - $29"
"Financial Analyst","$85,892/yr","Range: $83K - $104K"
"Territory Sales Manager","$86,325/yr","Range: $77K - $93K"
"Quality Engineer III","$106,601/yr","Range: $102K - $121K"
"IT Senior Developer","$123,683/yr","Range: $121K - $127K"
"Member of Technical Staff - Continuing Product Development","$125,089/yr","Range: $102K - $125K"
"Lead Business Systems Analyst","$149,026/yr","Range: $143K - $172K"
"Member of Technical Staff QA","$115,509/yr","Range: $115K - $117K"
"Services Sales Manager","$139,758/yr","Range: $137K - $181K"
"VMware Member of Technical Staff III","$118,802/yr","Range: $112K - $127K"
"TAM","$134,989/yr","Range: $107K - $150K"
"MBA - Monthly Intern","$8,883/mo","Range: $8K - $10K"
"Technical Marketing Manager","$155,499/yr","Range: $127K - $158K"
"Web Application Developer","$107,813/yr","Range: $105K - $125K"
"Americas Field Marketing Intern - Hourly","$22/hr","Range: $22 - $22"
"Senior IT Business Analyst","$127,720/yr","Range: $123K - $150K"
"Technical Solutions Architect","$168,681/yr","Range: $156K - $170K"
"Texas","$75,662/yr","Range: $74K - $103K"
