"jobTitle","meanPay","Range"
"Systems Engineer IV","$150,936/yr","Range: $123K - $168K"
"Senior Network Consulting Engineer","$125,701/yr","Range: $91K - $173K"
"Mechanical Engineer","$108,747/yr","Range: $64K - $158K"
"Software Engineer - Hourly Contractor","$57/hr","Range: $31 - $71"
"Senior Technical Writer","$118,791/yr","Range: $94K - $135K"
"Network Consulting Engineer III","$100,778/yr","Range: $82K - $117K"
"Hardware Technical Lead","$162,130/yr","Range: $140K - $189K"
"Technical Leader Engineering","$156,238/yr","Range: $135K - $176K"
"Inside Sales Manager","$87,516/yr","Range: $81K - $100K"
"Senior Technical Lead","$174,683/yr","Range: $144K - $206K"
"Commodity Manager","$127,968/yr","Range: $86K - $165K"
"Software Engineer-II","$113,682/yr","Range: $89K - $127K"
"Technical Solutions Architect","$170,905/yr","Range: $141K - $193K"
"Customer Support Engineer IV","$121,097/yr","Range: $105K - $147K"
"Director of Engineering","$220,000/yr","Range: $198K - $251K"
"Senior Network Engineer","$122,359/yr","Range: $95K - $160K"
"Database Administrator","$144,512/yr","Range: $100K - $164K"
"Account Manager II","$78,495/yr","Range: $61K - $87K"
"Test Development Engineer","$107,877/yr","Range: $87K - $139K"
"User-centered Design Engineer","$130,893/yr","Range: $105K - $172K"
"Network Consulting Engineer IV","$114,948/yr","Range: $94K - $149K"
"Software Test Engineer","$104,112/yr","Range: $83K - $136K"
"Senior Finance Manager","$154,452/yr","Range: $129K - $184K"
"Program/Project Manager","$117,113/yr","Range: $83K - $140K"
"Senior Business Development Manager","$168,217/yr","Range: $148K - $190K"
"Operations Director","$202,175/yr","Range: $175K - $238K"
"Program Manager II","$126,048/yr","Range: $88K - $165K"
"Territory Manager","$82,205/yr","Range: $79K - $88K"
"Senior Account Manager","$94,253/yr","Range: $65K - $167K"
"Program Manager - IT","$143,338/yr","Range: $119K - $159K"
"IT Service Lead","$138,811/yr","Range: $108K - $157K"
"Sales","$111,114/yr","Range: $58K - $157K"
"IT Analyst - Hourly Intern","$27/hr","Range: $24 - $28"
"Project Manager II","$112,585/yr","Range: $87K - $144K"
"Customer Success Manager","$94,278/yr","Range: $72K - $136K"
"Executive Assistant","$87,781/yr","Range: $67K - $100K"
"Engineering Director","$218,767/yr","Range: $199K - $287K"
"Pre-Sales Engineer","$151,936/yr","Range: $134K - $170K"
"Software Developer","$102,928/yr","Range: $70K - $152K"
"Global Account Manager","$116,919/yr","Range: $86K - $144K"
"Technical Support Engineer","$97,940/yr","Range: $67K - $108K"
"Engagement Manager","$131,762/yr","Range: $122K - $165K"
"Controller","$177,984/yr","Range: $139K - $203K"
"IT Engineer I","$87,049/yr","Range: $64K - $102K"
"Finance Business Manager","$127,201/yr","Range: $103K - $157K"
"Software - Hourly Intern","$31/hr","Range: $22 - $48"
"Service Delivery Manager","$125,351/yr","Range: $87K - $157K"
"Senior Systems Engineer","$148,701/yr","Range: $96K - $199K"
"Senior Manager, Marketing","$170,714/yr","Range: $133K - $184K"
"Senior IT Manager","$167,845/yr","Range: $147K - $187K"
"Senior Manager, Operations","$169,054/yr","Range: $141K - $195K"
"Project Specialist","$78,519/yr","Range: $61K - $100K"
"Marketing Manager II","$141,036/yr","Range: $125K - $170K"
"IT Senior Manager","$167,107/yr","Range: $144K - $182K"
"Finance Controller","$155,250/yr","Range: $139K - $183K"
"Project Manager - Contractor","$99,599/yr","Range: $54K - $201K"
"Finance Analyst","$86,136/yr","Range: $73K - $103K"
"Retail Sales Consultant","$42,344/yr","Range: $40K - $45K"
"Administrative Assistant","$70,237/yr","Range: $50K - $84K"
"Demand Planning Manager","$134,070/yr","Range: $108K - $165K"
"Senior Director Engineering","$253,602/yr","Range: $220K - $279K"
"Integrated Marketing Communications Manager","$136,486/yr","Range: $90K - $184K"
"California","$128,030/yr","Range: $101K - $189K"
"Manufacturing Program Manager","$127,217/yr","Range: $93K - $139K"
"Program Manager New Products","$133,903/yr","Range: $113K - $141K"
"Senior Business Analyst","$120,460/yr","Range: $89K - $130K"
"Quality Systems Engineer","$131,403/yr","Range: $108K - $157K"
"Systems Engineer I","$97,998/yr","Range: $85K - $140K"
"Data Analyst","$85,504/yr","Range: $66K - $112K"
"Project Manager - Hourly Contractor","$66/hr","Range: $32 - $108"
"Solutions Consultant","$129,213/yr","Range: $97K - $146K"
"Senior Product Line Manager","$169,229/yr","Range: $146K - $194K"
"IT Engineer IV","$119,134/yr","Range: $89K - $162K"
"Program Manager - Contractor","$131,940/yr","Range: $82K - $168K"
"Channel Account Manager","$76,603/yr","Range: $58K - $112K"
"Senior Manager Software Development Engineering","$176,247/yr","Range: $154K - $200K"
"Technical Marketing Manager","$140,368/yr","Range: $100K - $180K"
"Account Executive","$90,334/yr","Range: $48K - $133K"
"Data Analyst - Hourly Contractor","$37/hr","Range: $24 - $70"
"Business Architect","$134,537/yr","Range: $113K - $147K"
"Senior Solutions Architect","$162,478/yr","Range: $136K - $196K"
"Co-op Hardware Engineer - Hourly Intern","$23/hr","Range: $20 - $32"
"Software Engineer - Contractor","$93,486/yr","Range: $65K - $171K"
"Senior Systems Engineering Manager","$178,291/yr","Range: $159K - $202K"
"Sales Engineer","$111,211/yr","Range: $96K - $153K"
"Product Line Manager","$161,703/yr","Range: $105K - $194K"
"Program Manager - Hourly Contractor","$67/hr","Range: $38 - $79"
"Senior Manager Operations","$165,068/yr","Range: $147K - $208K"
"Hardware Engineer - Hourly Intern","$27/hr","Range: $21 - $43"
"Principal Software Engineer","$189,714/yr","Range: $118K - $213K"
"Virtual Systems Engineer","$98,768/yr","Range: $86K - $170K"
"Senior Software Engineering Manager","$183,577/yr","Range: $162K - $205K"
"New Product Introduction Engineer","$118,359/yr","Range: $92K - $136K"
"IT Business Analyst","$91,189/yr","Range: $70K - $129K"
"Research Engineer","$104,973/yr","Range: $86K - $128K"
"HR Manager","$135,359/yr","Range: $114K - $152K"
"Finance Business Manager II","$131,655/yr","Range: $113K - $144K"
"IT Service Manager","$138,070/yr","Range: $101K - $172K"
"User Experience Designer","$115,088/yr","Range: $91K - $134K"
"Senior Software Test Engineer","$136,372/yr","Range: $108K - $148K"
"Software Engineer - Hourly","$44/hr","Range: $28 - $56"
"Intern","$58,733/yr","Range: $42K - $84K"
"Marketing Programs Manager","$129,316/yr","Range: $91K - $161K"
"Software Engineering","$105,810/yr","Range: $84K - $114K"
"College - Hourly Intern","$34/hr","Range: $27 - $37"
"Component Engineer","$105,462/yr","Range: $93K - $134K"
"Member of Technical Staff","$136,363/yr","Range: $110K - $163K"
"Technical Support Manager","$134,371/yr","Range: $100K - $169K"
"Software Engineer V","$134,134/yr","Range: $130K - $149K"
"Information Security Engineer","$128,669/yr","Range: $72K - $147K"
"Director, Operations","$200,543/yr","Range: $187K - $260K"
"IT Project Manager - Hourly Contractor","$79/hr","Range: $58 - $89"
"Manager Systems Engineering","$160,066/yr","Range: $106K - $224K"
"Customer Solutions Architect","$175,081/yr","Range: $167K - $189K"
"Internship - Hourly","$29/hr","Range: $12 - $46"
"Director, Marketing","$205,655/yr","Range: $145K - $286K"
"Global Operations Program Manager","$126,628/yr","Range: $92K - $153K"
"Software Engineer Intern - Hourly","$22/hr","Range: $19 - $38"
"Software Engineering I Intern - Hourly","$21/hr","Range: $20 - $30"
"Finance Business Manager I","$123,830/yr","Range: $110K - $146K"
"Sales Manager","$111,376/yr","Range: $65K - $176K"
"Executive Communications Manager","$149,995/yr","Range: $132K - $180K"
"Consulting Engineer","$124,842/yr","Range: $63K - $150K"
"Sales Representative","$85,102/yr","Range: $52K - $162K"
"Technical Writer III","$103,499/yr","Range: $88K - $114K"
"Senior Engineer","$121,050/yr","Range: $84K - $173K"
"Consultant","$108,046/yr","Range: $32K - $147K"
"Senior Software Manager","$172,226/yr","Range: $150K - $213K"
"Sr. Software Engineer","$130,152/yr","Range: $95K - $187K"
"Data Scientist","$122,673/yr","Range: $95K - $168K"
"Enterprise Architect","$152,693/yr","Range: $134K - $197K"
"Software QA Engineering Manager","$142,937/yr","Range: $125K - $160K"
"Business Analyst - Contractor","$88,845/yr","Range: $54K - $129K"
"Sales, Business Development Manager","$139,981/yr","Range: $97K - $239K"
"Business Development Director","$199,103/yr","Range: $171K - $250K"
"IT Analyst I","$81,398/yr","Range: $78K - $86K"
"Marketing Director","$212,754/yr","Range: $173K - $222K"
"Software Engineering Manager II","$149,417/yr","Range: $98K - $173K"
"Client Executive","$113,788/yr","Range: $103K - $160K"
"CALO Co-op - Hourly Intern","$23/hr","Range: $21 - $25"
"Financial Analyst - Hourly Intern","$23/hr","Range: $19 - $25"
"Market Intelligence Manager","$126,938/yr","Range: $88K - $177K"
"Systems Test Engineer","$97,420/yr","Range: $74K - $128K"
"Senior Business Operations Manager","$156,922/yr","Range: $140K - $202K"
"Network Consulting Engineer V","$137,774/yr","Range: $115K - $165K"
"Director, Product Management","$205,489/yr","Range: $181K - $230K"
"Network Consulting Engineer II","$82,401/yr","Range: $70K - $95K"
"Global Supply Chain Manager","$160,432/yr","Range: $130K - $202K"
"IT Engineer II","$82,828/yr","Range: $70K - $107K"
"Senior Manager, Business Development","$163,914/yr","Range: $137K - $199K"
"Technical Writer","$96,855/yr","Range: $62K - $137K"
"Program Specialist","$96,367/yr","Range: $78K - $131K"
"Project Manager IT","$107,316/yr","Range: $92K - $126K"
"Manager, Marketing","$138,884/yr","Range: $110K - $167K"
"IT Engineer III","$113,296/yr","Range: $93K - $121K"
"Supply Chain Manager","$148,987/yr","Range: $117K - $185K"
"Manufacturing Test Development Engineer","$128,414/yr","Range: $119K - $136K"
"Network Engineer - Contractor","$81,732/yr","Range: $50K - $133K"
"Distinguished Engineer","$239,177/yr","Range: $219K - $271K"
"Systems Engineering Manager","$164,556/yr","Range: $154K - $182K"
"Manager, Operations","$148,607/yr","Range: $119K - $189K"
"Software Development Engineer III","$121,124/yr","Range: $92K - $133K"
"Marketing Communications Manager","$120,934/yr","Range: $83K - $155K"
"Cisco Choice Intern - Hourly","$31/hr","Range: $22 - $32"
"Data Analyst - Contractor","$90,161/yr","Range: $38K - $126K"
"Technical Architect","$117,398/yr","Range: $107K - $158K"
"Director of Finance","$208,103/yr","Range: $178K - $279K"
"Senior Tech Lead","$178,493/yr","Range: $151K - $205K"
"Senior User Experience Designer","$145,365/yr","Range: $103K - $183K"
"Technical Leader - Software","$153,930/yr","Range: $137K - $165K"
"IT Engineer, Senior","$112,767/yr","Range: $97K - $136K"
"Senior Director, Product Management","$250,446/yr","Range: $151K - $280K"
"Technical Leader, Engineering","$158,635/yr","Range: $131K - $167K"
"Contractor - Hourly","$74/hr","Range: $15 - $93"
"Operations Program Manager","$119,211/yr","Range: $88K - $162K"
"Network Security Engineer","$97,041/yr","Range: $74K - $108K"
"Regional Manager","$161,860/yr","Range: $141K - $178K"
"Marketing Manager III","$150,868/yr","Range: $120K - $159K"
"Solutions Architect II","$158,342/yr","Range: $142K - $189K"
"Analyst","$70,077/yr","Range: $49K - $103K"
"Sales Director","$206,203/yr","Range: $162K - $216K"
"Marketing Project Specialist (Analyst)","$72,784/yr","Range: $66K - $102K"
"Sales Account Manager","$75,497/yr","Range: $54K - $112K"
"Project Manager - Hourly","$67/hr","Range: $30 - $92"
"Manufacturing Quality Engineer","$129,043/yr","Range: $122K - $143K"
"Senior Corporate Counsel","$178,461/yr","Range: $160K - $207K"
"Technical Writer IV","$131,425/yr","Range: $120K - $143K"
"High Touch Operations Manager","$96,455/yr","Range: $79K - $116K"
"Hardware Engineering Manager","$184,607/yr","Range: $149K - $215K"
"Senior Software Development Manager","$175,013/yr","Range: $153K - $212K"
"Channel Manager","$111,976/yr","Range: $106K - $128K"
"Marketing Program Manager","$98,501/yr","Range: $52K - $158K"
"Cisco Network Engineer","$98,453/yr","Range: $41K - $153K"
"Senior Security Consultant","$120,315/yr","Range: $111K - $149K"
"Human Resources Program Manager","$130,442/yr","Range: $106K - $141K"
"Product Specialist","$79,444/yr","Range: $67K - $122K"
"Technical Consulting Engineer","$78,056/yr","Range: $62K - $100K"
"Senior Software Engineer - Hourly Contractor","$77/hr","Range: $69 - $93"
"Senior Human Resources Manager","$165,023/yr","Range: $147K - $191K"
"CSE","$148,189/yr","Range: $56K - $156K"
"Software Engineering Director","$215,356/yr","Range: $198K - $243K"
"Communications Manager","$118,373/yr","Range: $85K - $145K"
"Customer Service Specialist","$78,118/yr","Range: $65K - $135K"
"IT Engineer V","$135,102/yr","Range: $124K - $142K"
"Senior Integrated Marketing Communications Manager","$142,850/yr","Range: $117K - $190K"
"Software Developer - Hourly Intern","$31/hr","Range: $15 - $41"
"Design Engineer","$125,266/yr","Range: $81K - $184K"
"Senior IT Analyst","$118,791/yr","Range: $91K - $157K"
"Architect","$149,635/yr","Range: $140K - $208K"
"Hardware Engineer I","$88,426/yr","Range: $76K - $95K"
"Technical Program Manager","$128,647/yr","Range: $101K - $162K"
"Senior Customer Support Engineer","$111,968/yr","Range: $12K - $121K"
"Project Manager III","$123,687/yr","Range: $88K - $140K"
"MBA - Hourly Intern","$41/hr","Range: $32 - $44"
"Sales Executive","$118,446/yr","Range: $62K - $226K"
"Senior Manager, Program Management","$157,969/yr","Range: $136K - $194K"
"Customer Support Engineer I","$69,640/yr","Range: $65K - $75K"
"Commercial Sales Associate","$53,839/yr","Range: $41K - $65K"
"Engineering Program Manager","$127,760/yr","Range: $113K - $161K"
"Business Analyst - Hourly","$36/hr","Range: $16 - $47"
"Senior Program Manager - Hourly Contractor","$88/hr","Range: $60 - $120"
"Network Consulting Engineer VI","$133,251/yr","Range: $103K - $150K"
"Senior Controller","$171,522/yr","Range: $153K - $192K"
"Associate Sales Representative","$53,697/yr","Range: $48K - $57K"
"Senior Manager - Strategy & Operations","$161,252/yr","Range: $155K - $203K"
"System Engineer","$111,142/yr","Range: $80K - $148K"
"Partner Account Manager","$104,175/yr","Range: $81K - $173K"
"Territory Account Manager","$74,002/yr","Range: $46K - $102K"
"Inside Sales Account Manager","$61,251/yr","Range: $59K - $83K"
"Network Support Engineer","$91,776/yr","Range: $78K - $102K"
"Senior Technical Marketing Engineer","$142,125/yr","Range: $115K - $172K"
"Senior Manager, Product Marketing","$175,013/yr","Range: $135K - $191K"
"Technical Account Manager","$81,739/yr","Range: $75K - $148K"
"Software Engineer-IV","$130,622/yr","Range: $114K - $154K"
"Senior Director, Marketing","$266,146/yr","Range: $230K - $284K"
"Cross-Functional Project Specialist","$69,479/yr","Range: $56K - $78K"
"IT Analyst College - Hourly Intern","$28/hr","Range: $26 - $28"
"Customer Operations Manager","$126,103/yr","Range: $63K - $144K"
"Hardware Test Coop - Hourly Intern","$23/hr","Range: $22 - $23"
"Network Administrator","$80,128/yr","Range: $38K - $91K"
"Tech Lead I","$156,825/yr","Range: $134K - $162K"
"Education Specialist","$117,060/yr","Range: $77K - $128K"
"User Experience Design Engineer","$158,602/yr","Range: $91K - $185K"
"Product Manager - Hourly Intern","$36/hr","Range: $33 - $47"
"UX Designer","$103,635/yr","Range: $98K - $145K"
"QA Engineer","$116,429/yr","Range: $87K - $136K"
"Product Manager III","$151,050/yr","Range: $116K - $176K"
"Global Account Manager III","$117,276/yr","Range: $112K - $163K"
"Delivery Manager","$99,431/yr","Range: $85K - $162K"
"Learning and Development Manager","$144,370/yr","Range: $123K - $160K"
"Product Sales Specialist III","$114,184/yr","Range: $109K - $117K"
"Devops Engineer","$122,532/yr","Range: $104K - $163K"
"Network Consulting Engineer Grade 10","$109,148/yr","Range: $106K - $135K"
"Customer Operations Analyst","$128,920/yr","Range: $78K - $161K"
"Software Engineer, Technical Lead","$151,603/yr","Range: $133K - $170K"
"Commercial Manager","$101,352/yr","Range: $96K - $118K"
"Data Architect","$136,987/yr","Range: $118K - $153K"
"Enterprise Sales Manager","$121,051/yr","Range: $116K - $145K"
"Virtual Partner Account Manager","$62,658/yr","Range: $51K - $67K"
"Software II Engineer","$114,192/yr","Range: $112K - $126K"
"Human Resources Business Partner","$143,671/yr","Range: $113K - $154K"
"Hardware - Hourly Intern","$32/hr","Range: $22 - $36"
"Systems Architect","$147,616/yr","Range: $118K - $180K"
"Software Engineer - Intern","$83,153/yr","Range: $58K - $119K"
"Customer Service Engineer","$74,346/yr","Range: $63K - $77K"
"Network Engineer - Hourly Intern","$26/hr","Range: $21 - $29"
"Solutions Marketing Manager","$145,214/yr","Range: $94K - $174K"
"Service & Operations Manager","$163,686/yr","Range: $112K - $184K"
"Co-Op Student Worker - Hourly Intern","$27/hr","Range: $22 - $31"
"Associate Account Manager","$48,492/yr","Range: $47K - $121K"
"North Carolina","$105,592/yr","Range: $82K - $117K"
"Sr Manager","$156,750/yr","Range: $148K - $178K"
"Network Engineer - Hourly","$30/hr","Range: $20 - $51"
"Choice Intern - Hourly","$24/hr","Range: $20 - $35"
"Mechanical Product Engineer","$100,357/yr","Range: $94K - $110K"
"Strategic Account Manager","$100,199/yr","Range: $80K - $119K"
"Marketing Communications Specialist","$77,988/yr","Range: $68K - $92K"
"Integration Architect","$118,521/yr","Range: $110K - $131K"
"Senior Manager Product Marketing","$162,733/yr","Range: $150K - $176K"
"Marketing Analyst","$88,380/yr","Range: $74K - $106K"
"Senior Manager - Software Development","$170,730/yr","Range: $162K - $201K"
"Senior Project Manager - Hourly Contractor","$79/hr","Range: $53 - $110"
"Web Developer","$82,961/yr","Range: $78K - $124K"
"Marketing Project Specialist","$65,174/yr","Range: $54K - $84K"
"Supply Chain Operations - Hourly Intern","$24/hr","Range: $23 - $26"
"Director of Software Development","$202,667/yr","Range: $201K - $215K"
"Product Owner","$106,988/yr","Range: $78K - $130K"
"Service Account Manager","$107,859/yr","Range: $63K - $182K"
"Hardware Test Engineer","$89,485/yr","Range: $63K - $115K"
"Software Architect","$162,221/yr","Range: $120K - $198K"
"Software Engineer -II","$109,794/yr","Range: $86K - $114K"
"Technical Project Manager","$133,287/yr","Range: $114K - $151K"
"Senior Technical Program Manager","$146,821/yr","Range: $127K - $167K"
"Software Development - Hourly Intern","$22/hr","Range: $13 - $22"
