"jobTitle","meanPay","Range"
"Sales Operations Manager","$108,403/yr","Range: $92K - $126K"
"Director of Product Management","$224,382/yr","Range: $185K - $266K"
"Recruiter","$94,585/yr","Range: $47K - $145K"
"Senior Manager of Content and Services","$137,887/yr","Range: $129K - $148K"
"Team Leader - Hourly","$19/hr","Range: $16 - $21"
"Systems Engineer Manager","$146,015/yr","Range: $135K - $159K"
"Administrative Assistant","$54,275/yr","Range: $52K - $57K"
"Solutions Architect","$133,252/yr","Range: $116K - $151K"
"Investment Research Analyst","$65,257/yr","Range: $62K - $68K"
"Software Engineer Senior Staff","$125,854/yr","Range: $118K - $134K"
"Project Manager II","$92,577/yr","Range: $89K - $97K"
"Build and Tools Engineer","$98,387/yr","Range: $85K - $112K"
"Logistics","$60,009/yr","Range: $58K - $63K"
"Business Planning Analyst","$61,947/yr","Range: $59K - $65K"
"Senior Strategic Account Manager","$104,406/yr","Range: $100K - $109K"
"Software Test Engineer","$99,982/yr","Range: $80K - $123K"
"Customer Relations Specialist","$51,986/yr","Range: $41K - $64K"
"Executive Assistant","$78,389/yr","Range: $67K - $90K"
"Senior Business Development Manager","$172,669/yr","Range: $143K - $204K"
"Senior Manager - Product Planning","$165,709/yr","Range: $153K - $178K"
"National Sales Director","$168,192/yr","Range: $157K - $182K"
"Sales Director","$153,990/yr","Range: $103K - $208K"
"Market Trainer","$51,234/yr","Range: $48K - $55K"
"Maintenance Technician - Hourly","$23/hr","Range: $20 - $26"
"IT Director","$143,435/yr","Range: $96K - $195K"
"Terminal Performance Engineer I","$73,566/yr","Range: $63K - $85K"
"Financial Manager","$97,835/yr","Range: $90K - $106K"
"PC Technician","$49,577/yr","Range: $46K - $54K"
"Financial Analyst Manager","$83,721/yr","Range: $73K - $96K"
"Standards Engineer","$105,705/yr","Range: $96K - $116K"
"Engineer III","$103,959/yr","Range: $98K - $110K"
"S/W Quality Assurance Engineer and Tester","$117,638/yr","Range: $105K - $130K"
"Supply Chain Analyst - Contractor","$58,943/yr","Range: $56K - $62K"
"Supervisor","$65,097/yr","Range: $58K - $72K"
"Sales Assistant Manager","$51,861/yr","Range: $44K - $61K"
"Quality Engineer","$84,022/yr","Range: $72K - $96K"
"Data Analyst","$58,380/yr","Range: $48K - $69K"
"Market Research Manager","$99,741/yr","Range: $87K - $112K"
"Sales Associate","$56,932/yr","Range: $44K - $71K"
"Field and Support Engineer","$68,565/yr","Range: $62K - $75K"
"Senior Project Manager - Hourly Contractor","$79/hr","Range: $53 - $106"
"Sales","$59,346/yr","Range: $47K - $73K"
"Senior Analyst Channel Analytics","$92,475/yr","Range: $81K - $103K"
"Sim Card Specialist","$54,278/yr","Range: $51K - $57K"
"Marketing Analyst","$67,021/yr","Range: $63K - $70K"
"Texas","$61,321/yr","Range: $41K - $83K"
"Senior Analyst","$97,303/yr","Range: $92K - $102K"
"Business Data Analyst","$78,888/yr","Range: $71K - $87K"
"Supply Chain Analyst","$53,293/yr","Range: $46K - $61K"
"Intern - Monthly","$6,972/mo","Range: $6K - $8K"
"Business Development Manager","$180,483/yr","Range: $154K - $207K"
"Credit Analyst","$59,556/yr","Range: $52K - $67K"
"Senior Hardware Engineer","$110,621/yr","Range: $78K - $144K"
"New Jersey","$70,083/yr","Range: $61K - $80K"
"Marketing Specialist","$76,932/yr","Range: $72K - $81K"
"Procurement Manager","$100,740/yr","Range: $97K - $105K"
"Industrial Designer","$127,117/yr","Range: $111K - $145K"
"R&D Engineer II","$98,001/yr","Range: $94K - $102K"
"Performance Engineer","$116,314/yr","Range: $109K - $124K"
"Product Engineer","$83,742/yr","Range: $65K - $103K"
"Software QA Engineer","$103,162/yr","Range: $86K - $122K"
"Enterprise Sales Executive","$102,747/yr","Range: $96K - $109K"
"User Interface Designer","$92,352/yr","Range: $84K - $102K"
"Internship - Hourly","$46/hr","Range: $36 - $56"
"Senior Solutions Architect","$127,932/yr","Range: $120K - $137K"
"Senior Marketing Manager","$130,379/yr","Range: $123K - $137K"
"Software Engineering - Hourly Intern","$38/hr","Range: $34 - $43"
"Software Engineer - Monthly Intern","$5,907/mo","Range: $3K - $9K"
"Technician - Hourly","$24/hr","Range: $19 - $30"
"Network Engineer - Contractor","$111,301/yr","Range: $72K - $155K"
"Contractor","$139,970/yr","Range: $136K - $145K"
"Telco Specialist","$59,115/yr","Range: $57K - $61K"
"Hardware Engineering Manager","$87,049/yr","Range: $83K - $90K"
"IT Support","$56,764/yr","Range: $55K - $59K"
"Network Technician","$59,653/yr","Range: $58K - $62K"
"Senior Specialist","$76,480/yr","Range: $74K - $80K"
"Senior Project Engineer","$168,255/yr","Range: $162K - $175K"
"Senior Credit and Collections Analyst - Hourly","$37/hr","Range: $35 - $39"
"Senior Software Engineer-B2B Server Group","$120,585/yr","Range: $115K - $125K"
"Senior Process Improvement Manager (Senior Process)","$140,573/yr","Range: $134K - $145K"
"Accounts Receivable Credit and Collections Manager - Hourly","$19/hr","Range: $18 - $20"
"Plant Manager","$126,426/yr","Range: $122K - $133K"
"Multimedia Developer - Hourly Contractor","$39/hr","Range: $37 - $40"
"QA Test Engineer II","$83,897/yr","Range: $81K - $87K"
"GA","$65,184/yr","Range: $63K - $68K"
"IT Recruiter Manager","$73,999/yr","Range: $71K - $77K"
"Credit Specialist - Hourly","$23/hr","Range: $22 - $24"
"Field Sales Representative","$48,558/yr","Range: $47K - $51K"
"Senior Staff Systems Engineer - Hourly","$78/hr","Range: $75 - $82"
"Engineer I - Contractor","$95,989/yr","Range: $93K - $101K"
"Analyst","$89,891/yr","Range: $87K - $93K"
"Senior Pricing Manager","$169,611/yr","Range: $164K - $178K"
"Technical Support Engineer","$71,678/yr","Range: $69K - $74K"
"HR Director","$60,191/yr","Range: $58K - $63K"
"Market Analyst","$73,775/yr","Range: $71K - $77K"
"Call Center Agent - Hourly","$12/hr","Range: $12 - $13"
"Samsung Experience Specialist - Hourly","$15/hr","Range: $15 - $16"
"Research Engineer","$146,861/yr","Range: $141K - $152K"
"B2B Marketing Manager","$57,645/yr","Range: $56K - $60K"
"Senior Enterprise Architect","$121,306/yr","Range: $116K - $125K"
"Finance Manager - Monthly","$5,148/mo","Range: $5K - $5K"
"MBA - Hourly Intern","$43/hr","Range: $41 - $45"
"Maintenance Tech - Hourly","$27/hr","Range: $26 - $28"
"Product Marketing Manager","$145,563/yr","Range: $139K - $151K"
"Inside Sales Representative - Contractor","$46,600/yr","Range: $45K - $48K"
"Senior Staff Mechanical Engineer","$147,334/yr","Range: $141K - $153K"
"Warehouse Supervisor","$69,096/yr","Range: $66K - $72K"
"Budget Analyst","$59,894/yr","Range: $58K - $62K"
"Director of Sales and Marketing","$152,930/yr","Range: $147K - $158K"
"Software Developer - Hourly","$40/hr","Range: $38 - $41"
"SAP ABAP Programmer (Administrator)","$90,173/yr","Range: $87K - $94K"
"Staff Systems Engineer (Product Manager)","$114,230/yr","Range: $109K - $119K"
"Senior Software Engineer - Contractor","$79,961/yr","Range: $76K - $83K"
"HW Test Engineer - Hourly","$32/hr","Range: $31 - $34"
"Software Product Support Manager","$106,689/yr","Range: $102K - $111K"
"Project Coordinator - Monthly","$2,167/mo","Range: $2K - $2K"
"User Experience Researcher","$67,156/yr","Range: $65K - $70K"
"Software Engineer-SE Android","$136,358/yr","Range: $130K - $141K"
"Sales Specialist","$56,399/yr","Range: $54K - $58K"
"Senior Software Developer","$100,048/yr","Range: $96K - $105K"
"UI Design - Hourly Intern","$34/hr","Range: $33 - $36"
"Senior Software Development Manager (Staff Android Software)","$149,662/yr","Range: $144K - $154K"
"Division Manager","$95,081/yr","Range: $91K - $99K"
"Senior Systems Software Engineer","$152,934/yr","Range: $147K - $159K"
"Research Scientist","$156,122/yr","Range: $151K - $162K"
"Data Analyst - Hourly Contractor","$29/hr","Range: $28 - $30"
"Senior Software Development Engineer In Test","$119,748/yr","Range: $116K - $124K"
"Lead Sales Consultant - Hourly","$20/hr","Range: $20 - $21"
"Computer Programmer","$84,374/yr","Range: $82K - $88K"
"Product Designer","$42,066/yr","Range: $40K - $43K"
"IT Help Desk Technician","$45,885/yr","Range: $44K - $48K"
"Product Marketing Director","$175,593/yr","Range: $167K - $184K"
"Order Management Specialist","$63,201/yr","Range: $61K - $66K"
"Wireless Management Specialist","$50,671/yr","Range: $49K - $53K"
"Service Delivery Manager","$118,446/yr","Range: $113K - $122K"
"Tech Support Manager","$95,833/yr","Range: $92K - $101K"
"Bilingual Software Engineer","$87,758/yr","Range: $84K - $92K"
"Senior Visual Designer","$152,949/yr","Range: $146K - $160K"
"Senior RF Test Engineer","$100,384/yr","Range: $96K - $104K"
"Director, Strategic Account Management","$121,036/yr","Range: $116K - $125K"
"Ewp Quality Engineer","$69,979/yr","Range: $68K - $72K"
"Director of Online Marketing","$198,604/yr","Range: $191K - $205K"
"Senior Pre-Sales Engineer","$148,667/yr","Range: $143K - $156K"
"Senior Test Engineer II","$106,551/yr","Range: $103K - $110K"
"Janitorial - Hourly","$15/hr","Range: $14 - $16"
"SWE - Hourly Intern","$28/hr","Range: $27 - $29"
"Software Engineering Manager","$125,741/yr","Range: $120K - $130K"
"Director of Engineering","$188,822/yr","Range: $180K - $197K"
"Firmware Engineer","$98,690/yr","Range: $95K - $102K"
"Analyst - Contractor","$38,677/yr","Range: $37K - $41K"
"Quality Assurance Test Engineer","$74,110/yr","Range: $71K - $78K"
"Inside Channel Account Manager","$71,415/yr","Range: $69K - $74K"
"Senior Network Engineer","$79,443/yr","Range: $76K - $82K"
"Senior Administrative Assistant","$60,738/yr","Range: $58K - $64K"
"Director of Service Accounts Management","$181,581/yr","Range: $175K - $188K"
"Customer Experience Manager","$75,581/yr","Range: $72K - $79K"
"Senior Financial Manager","$136,485/yr","Range: $130K - $141K"
"Content Manager","$145,365/yr","Range: $140K - $152K"
"Store Manager - Hourly","$10/hr","Range: $10 - $10"
"Data Scientist","$129,627/yr","Range: $124K - $136K"
"CS Risk Manager","$99,977/yr","Range: $96K - $104K"
"Underwriter","$55,543/yr","Range: $53K - $58K"
"Senior Systems Validation Engineer","$129,496/yr","Range: $125K - $135K"
"Graphic Communications Specialist - Hourly Contractor","$86/hr","Range: $83 - $90"
"Mechanical Engineer","$80,867/yr","Range: $77K - $85K"
"Marketing Assistant - Hourly","$28/hr","Range: $27 - $29"
"Senior Technology Manager","$154,579/yr","Range: $148K - $162K"
"UI Developer","$106,877/yr","Range: $103K - $112K"
"Senior Associate","$64,014/yr","Range: $61K - $66K"
"Human Resources Specialist","$98,485/yr","Range: $95K - $102K"
"Web Analyst","$69,991/yr","Range: $67K - $72K"
"Logistics - Hourly Intern","$13/hr","Range: $13 - $14"
"Senior Verification Engineer","$114,268/yr","Range: $111K - $119K"
"Machine Learning Engineer - Monthly Intern","$6,397/mo","Range: $6K - $7K"
"Product Planning Manager","$169,224/yr","Range: $162K - $178K"
"Master Technician - Hourly","$33/hr","Range: $32 - $34"
"Automation Engineer","$99,316/yr","Range: $94K - $103K"
"Technical Program Manager","$136,607/yr","Range: $132K - $142K"
"Social Media Support Specialist - Hourly","$13/hr","Range: $13 - $14"
"Services Architect - Hourly Contractor","£73/hr","Range: £70 - £76"
"Legal Counsel","$179,540/yr","Range: $173K - $186K"
"Consultant","$136,374/yr","Range: $132K - $141K"
"Channel Marketing","$92,337/yr","Range: $89K - $95K"
"Solutions Sales Specialist Manager","$84,248/yr","Range: $81K - $88K"
"Software Engineer (ABAP Programmer)","$117,463/yr","Range: $112K - $123K"
"Senior Storage Engineer","$100,458/yr","Range: $96K - $104K"
"Logistics Management Specialist","$62,146/yr","Range: $60K - $65K"
"Senior QA Automation Engineer - Hourly Contractor","$58/hr","Range: $56 - $60"
"Strategic Marketing Manager","$89,581/yr","Range: $86K - $93K"
"General Coordinator","$48,618/yr","Range: $47K - $50K"
"Senior Financial Systems Analyst","$63,878/yr","Range: $62K - $67K"
"Sales Manager - Hourly","$16/hr","Range: $16 - $17"
"Cost Estimator","$55,091/yr","Range: $53K - $57K"
"Senior Software Development Engineer - Monthly","$15,048/mo","Range: $14K - $16K"
"Selinux Engineer","$106,999/yr","Range: $103K - $111K"
"Engineer - Contractor","$91,937/yr","Range: $89K - $96K"
"Release Engineer","$100,645/yr","Range: $97K - $104K"
"Financial Analyst - Contractor","$58,217/yr","Range: $56K - $61K"
"Associate","$46,219/yr","Range: $44K - $48K"
"Chief Financial Officer","$217,493/yr","Range: $209K - $225K"
"Purchasing Manager","$96,814/yr","Range: $93K - $101K"
"Software Development Engineer I","$89,262/yr","Range: $86K - $92K"
"Procurement and Logistics Analyst - Contractor","$75,120/yr","Range: $72K - $78K"
"Senior Planning Manager","$126,463/yr","Range: $121K - $130K"
"Administrative Assistant - Hourly","$23/hr","Range: $22 - $24"
"Product Specialist","$27,941/yr","Range: $27K - $29K"
"Enterprise Account Manager","$107,162/yr","Range: $102K - $111K"
"National Acct Manager","$105,597/yr","Range: $101K - $110K"
"Vice President - Product Management","$219,902/yr","Range: $210K - $231K"
"Software Development Engineer In Test","$103,541/yr","Range: $99K - $107K"
"Sales Lead","$45,225/yr","Range: $43K - $47K"
"Security Analyst","$87,725/yr","Range: $84K - $91K"
"Mason - Hourly","$16/hr","Range: $15 - $17"
"Senior Project Manager (Product Specialist II)","$103,477/yr","Range: $100K - $107K"
"Software Engineer - Monthly","$9,824/mo","Range: $9K - $10K"
"Financial Administrator","$40,063/yr","Range: $38K - $42K"
"Senior Strategic Planner","$88,418/yr","Range: $84K - $92K"
"Senior Staff Hardware Engineer","$137,758/yr","Range: $133K - $144K"
"Manufacturing Tech - Hourly","$25/hr","Range: $24 - $26"
