"jobTitle","meanPay","Range"
"Senior Sales Operations Manager","$145,756/yr","Range: $141K - $150K"
"Vice President","$280,309/yr","Range: $270K - $294K"
"Sales Support Analyst","$71,511/yr","Range: $69K - $74K"
"Product Management","$120,407/yr","Range: $116K - $126K"
"Merchandise Coordinator","$68,578/yr","Range: $66K - $72K"
"Senior Design Researcher","$181,953/yr","Range: $175K - $191K"
"Head Account Management","$85,624/yr","Range: $83K - $89K"
"Data Engineer","$128,915/yr","Range: $124K - $133K"
"Recruiting Coordinator - Hourly","$25/hr","Range: $25 - $27"
"Senior Engineering Manager","$247,123/yr","Range: $238K - $255K"
"Writer","$93,771/yr","Range: $89K - $98K"
"Analyst","$130,292/yr","Range: $124K - $136K"
"Designer New Grad","$147,378/yr","Range: $143K - $155K"
"Analyst - Hourly Contractor","$20/hr","Range: $19 - $21"
"Planner","$95,491/yr","Range: $92K - $98K"
"Business Development Specialist","$55,598/yr","Range: $54K - $58K"
"Channel Marketing Manager","$123,830/yr","Range: $120K - $130K"
"Senior Account Executive","$148,796/yr","Range: $144K - $154K"
"Senior Strategy Analyst","$115,124/yr","Range: $111K - $121K"
"Product Marketing Manager Team Lead","$158,844/yr","Range: $153K - $164K"
"Solutions Developer","$102,137/yr","Range: $98K - $106K"
"FP&A","$90,819/yr","Range: $88K - $95K"
"Group Product Manager","$188,384/yr","Range: $179K - $196K"
"Rotational Program","$65,163/yr","Range: $62K - $67K"
"Senior Channel Manager","$156,144/yr","Range: $150K - $163K"
"Strategist","$111,559/yr","Range: $107K - $116K"
"Business Operations Team Lead","$113,173/yr","Range: $108K - $118K"
"Head Product Marketing Manager","$203,115/yr","Range: $195K - $210K"
"Software Engineer/Database Administrator","$188,846/yr","Range: $182K - $197K"
"Campus Recruiter","$97,971/yr","Range: $94K - $102K"
"Lead Software Engineer","$176,413/yr","Range: $171K - $182K"
"Revenue Manager","$117,137/yr","Range: $112K - $121K"
"Business Operations - Finance","$129,693/yr","Range: $125K - $135K"
"Implementation Specialist","$82,234/yr","Range: $79K - $86K"
"Senior Research Manager","$157,566/yr","Range: $152K - $164K"
"Contracts Manager","$118,620/yr","Range: $114K - $123K"
"Data Analyst","$116,677/yr","Range: $113K - $122K"
"Group Sales Manager","$75,461/yr","Range: $73K - $78K"
"Business Architect","$119,597/yr","Range: $115K - $125K"
"Student Ambassador - Hourly Intern","$11/hr","Range: $10 - $11"
"Prep/Line Cook","$39,769/yr","Range: $38K - $42K"
"Inbound Sales Representative","$49,245/yr","Range: $47K - $52K"
"Release Engineer","$130,587/yr","Range: $126K - $136K"
"Senior HR Business Partner","$134,902/yr","Range: $130K - $141K"
"BizOps Associate","$120,422/yr","Range: $115K - $126K"
"Field Marketing Specialist","$82,374/yr","Range: $79K - $86K"
"Partnership Manager","$80,930/yr","Range: $77K - $84K"
"Compliance Specialist","$84,522/yr","Range: $81K - $87K"
"Senior Technical Recruiter","$121,687/yr","Range: $116K - $127K"
"Customer Success","$162,597/yr","Range: $158K - $170K"
"Finance","$97,534/yr","Range: $94K - $102K"
"Senior Leadership Development","$78,849/yr","Range: $76K - $83K"
"Program Specialist","$135,015/yr","Range: $131K - $140K"
"Manager, Office Operations","$96,763/yr","Range: $94K - $101K"
"Supply Chain Manager","$140,164/yr","Range: $135K - $146K"
"Interactive Designer","$104,387/yr","Range: $100K - $109K"
"Co-Founder","$66,027/yr","Range: $63K - $69K"
"Sous Chef","$63,495/yr","Range: $61K - $65K"
"User Experience Designer","$110,045/yr","Range: $105K - $114K"
"California","$209,802/yr","Range: $202K - $216K"
"Head Recruiting Coordinator","$120,041/yr","Range: $114K - $124K"
"Senior Software Engineer - Monthly","$6,388/mo","Range: $6K - $7K"
"Social Impact Manager","$91,612/yr","Range: $89K - $95K"
"Site Reliability Engineer - Monthly Intern","$9,183/mo","Range: $9K - $9K"
"IT Project Manager","$108,852/yr","Range: $105K - $113K"
"Training Program Manager","$86,933/yr","Range: $84K - $90K"
"University Recruiter","$80,559/yr","Range: $77K - $84K"
"Network Engineer","$149,282/yr","Range: $143K - $154K"
"Windows Systems Administrator","$107,190/yr","Range: $102K - $111K"
"Counsel","$223,970/yr","Range: $213K - $232K"
"Anonymous","$134,334/yr","Range: $129K - $140K"
"Senior Manager of Sales, Small and Medium Business","$140,022/yr","Range: $135K - $147K"
"Training and Development Manager","$96,015/yr","Range: $92K - $100K"
"BI Analyst","$103,293/yr","Range: $100K - $108K"
"UX Researcher","$132,152/yr","Range: $126K - $138K"
"Director, Quality Management","$140,154/yr","Range: $135K - $145K"
"Senior QA Engineer","$110,252/yr","Range: $106K - $114K"
"Asset Manager","$122,725/yr","Range: $118K - $127K"
"Senior HRBP","$155,121/yr","Range: $149K - $161K"
"Hardware Engineer","$145,431/yr","Range: $139K - $151K"
"Android Developer","$125,691/yr","Range: $122K - $130K"
"Sales","$136,612/yr","Range: $132K - $143K"
"Channel Account Manager","$73,302/yr","Range: $70K - $76K"
"Sales Manager","$103,613/yr","Range: $100K - $108K"
"Associate Marketing Manager","$92,191/yr","Range: $89K - $95K"
"Business","$36,460/yr","Range: $35K - $38K"
"Intern","$58,228/yr","Range: $56K - $60K"
"Project Management","$118,813/yr","Range: $114K - $124K"
"Engagement Manager","$147,930/yr","Range: $141K - $155K"
"Director, Account Management","$159,427/yr","Range: $152K - $166K"
"Head Sales Operations Manager","$130,709/yr","Range: $125K - $135K"
"Marketing Manager","$90,622/yr","Range: $87K - $94K"
"Helpdesk","$75,468/yr","Range: $72K - $79K"
"UI Designer - Monthly","$6,469/mo","Range: $6K - $7K"
"Data Science Manager","$147,469/yr","Range: $141K - $152K"
"Quantitative Researcher","$182,117/yr","Range: $174K - $191K"
"Program Analyst","$98,219/yr","Range: $94K - $102K"
"Staff Engineer","$209,320/yr","Range: $202K - $219K"
"Senior Business Systems Analyst","$130,575/yr","Range: $126K - $135K"
"Director","$270,928/yr","Range: $259K - $280K"
"SAP Manager","$129,460/yr","Range: $124K - $135K"
"Creative Director","$165,912/yr","Range: $160K - $174K"
"Software Developer - Intern","$64,687/yr","Range: $62K - $67K"
"Software Dev","$87,960/yr","Range: $84K - $91K"
"Senior QA Analyst","$113,112/yr","Range: $108K - $117K"
"Software Engineer() - Intern","$93,698/yr","Range: $89K - $97K"
"Risk Manager","$160,125/yr","Range: $155K - $166K"
"User Researcher","$96,020/yr","Range: $93K - $99K"
"Software Developer - Monthly Intern","$9,888/mo","Range: $10K - $10K"
"Copywriter","$96,928/yr","Range: $93K - $101K"
"Project Manager","$102,294/yr","Range: $99K - $107K"
"Content Analyst","$82,374/yr","Range: $78K - $86K"
"Data Stage Developer","$119,019/yr","Range: $114K - $124K"
"Product Management Manager","$160,011/yr","Range: $155K - $166K"
"Business Systems Analyst","$95,789/yr","Range: $92K - $99K"
"Accountant","$87,546/yr","Range: $84K - $91K"
"Military Police","$53,930/yr","Range: $52K - $56K"
"Sales Development Representative","$56,312/yr","Range: $54K - $59K"
"SDE1","$122,367/yr","Range: $118K - $127K"
"Distribution Manager","$113,386/yr","Range: $110K - $119K"
"Senior Software Developer","$148,141/yr","Range: $141K - $155K"
"Performance Engineer","$149,081/yr","Range: $142K - $155K"
"Business Operations Associate","$91,650/yr","Range: $89K - $95K"
"Salesforce Administrative","$143,192/yr","Range: $137K - $149K"
"Engineering Director","$266,536/yr","Range: $254K - $279K"
"Implementation Consultant Manager","$124,150/yr","Range: $120K - $130K"
"Analytics Manager Team Lead","$120,754/yr","Range: $117K - $126K"
"Computer Engineer","$106,806/yr","Range: $103K - $110K"
"Security Analyst","$85,041/yr","Range: $81K - $89K"
"Partner Manager","$115,391/yr","Range: $112K - $120K"
"Technical Engineer-user Group","$68,019/yr","Range: $65K - $71K"
"Senior CopyWriter","$127,050/yr","Range: $121K - $132K"
