"jobTitle","meanPay","Range"
"Data Center Technician Manager","$127,976/yr","Range: $122K - $161K"
"Construction Manager","$105,740/yr","Range: $82K - $137K"
"User Operations Associate","$81,009/yr","Range: $77K - $105K"
"Site Reliability Engineer","$97,818/yr","Range: $81K - $120K"
"User Operations Analyst - Hourly","$21/hr","Range: $20 - $24"
"Applications Engineer","$120,461/yr","Range: $99K - $142K"
"Software Developer - Monthly Intern","$7,483/mo","Range: $7K - $9K"
"Data Center Technician","$83,401/yr","Range: $80K - $90K"
"Staff Software Engineer","$210,583/yr","Range: $204K - $230K"
"Senior Project Manager","$147,861/yr","Range: $81K - $153K"
"Operations Manager","$111,485/yr","Range: $83K - $125K"
"Financial Analyst","$122,313/yr","Range: $87K - $129K"
"Senior Product Designer","$168,440/yr","Range: $145K - $173K"
"Software Engineer(Internship) - Monthly","$8,614/mo","Range: $8K - $10K"
"Channel Marketing Manager","$136,803/yr","Range: $121K - $148K"
"Recruiting Lead","$139,309/yr","Range: $98K - $160K"
"Designer","$124,483/yr","Range: $85K - $177K"
"Oracle Developer","$127,627/yr","Range: $103K - $133K"
"Operations Engineer - Hourly","$44/hr","Range: $42 - $45"
"Facebook Software Engineer - Monthly","$10,478/mo","Range: $8K - $12K"
"Senior Data Scientist","$174,118/yr","Range: $170K - $190K"
"Online Operations Associate","$76,168/yr","Range: $55K - $103K"
"Product Designer - Monthly Intern","$8,082/mo","Range: $3K - $8K"
"Facility Engineer","$93,388/yr","Range: $90K - $95K"
"Storage Engineer","$127,862/yr","Range: $106K - $144K"
"Risk Analyst - Hourly","$29/hr","Range: $18 - $30"
"Strategic Partner Manager","$87,699/yr","Range: $66K - $102K"
"Senior Technical Recruiter","$158,501/yr","Range: $132K - $163K"
"Software Engineer New Grad","$113,827/yr","Range: $111K - $115K"
"User Experience Researcher - Monthly Intern","$7,478/mo","Range: $7K - $8K"
"Embedded Software Engineer","$126,672/yr","Range: $126K - $132K"
"SWE","$137,179/yr","Range: $120K - $150K"
"Machine Learning Engineer","$145,748/yr","Range: $101K - $151K"
"SDE1","$112,641/yr","Range: $100K - $122K"
"Oracle Applications Developer","$121,642/yr","Range: $105K - $134K"
"Subject Matter Expert","$75,278/yr","Range: $72K - $78K"
"Sales Operations Manager","$128,489/yr","Range: $119K - $140K"
"User Experience Researcher - Hourly Contractor","$76/hr","Range: $65 - $90"
"Software Engineer VI","$207,249/yr","Range: $205K - $221K"
"Content Specialist","$96,578/yr","Range: $52K - $100K"
"Senior Data Analyst","$110,019/yr","Range: $93K - $125K"
"Construction Project Manager","$99,837/yr","Range: $97K - $113K"
"Software Engineer - Hourly","$46/hr","Range: $33 - $62"
"Content Writer","$81,705/yr","Range: $70K - $100K"
"Creative Strategist","$196,353/yr","Range: $90K - $240K"
"Strategist","$156,258/yr","Range: $147K - $171K"
"Supply Chain Manager","$135,016/yr","Range: $117K - $168K"
"Product Operations Specialist","$96,206/yr","Range: $70K - $123K"
"Critical Facility Engineer","$99,575/yr","Range: $80K - $102K"
"Frontend Engineer","$133,860/yr","Range: $112K - $157K"
"Business Development Manager","$127,408/yr","Range: $77K - $158K"
"Developer Support Engineer","$111,587/yr","Range: $102K - $149K"
"Software Development Engineer In Test","$149,057/yr","Range: $145K - $163K"
"Internet Marketing Analyst","$106,007/yr","Range: $91K - $127K"
"User Experience Research - Monthly Intern","$7,553/mo","Range: $7K - $8K"
"Software Engineer Intern - Monthly","$8,515/mo","Range: $8K - $9K"
"Product Development Specialist","$95,149/yr","Range: $95K - $112K"
"Program Manager - Hourly Contractor","$81/hr","Range: $59 - $95"
"Product Specialist - Hourly","$33/hr","Range: $26 - $34"
"Rotational Software Engineer","$148,305/yr","Range: $147K - $150K"
"Senior Software Engineer - Hourly Contractor","$128/hr","Range: $95 - $162"
"Chief Engineering Manager","$133,337/yr","Range: $128K - $136K"
"Community Manager","$109,807/yr","Range: $96K - $112K"
"Technical Account Manager","$129,373/yr","Range: $108K - $130K"
"Product Design Manager","$209,034/yr","Range: $188K - $234K"
"Data Engineer Manager","$205,161/yr","Range: $180K - $224K"
"User Operations Team Lead","$111,341/yr","Range: $107K - $112K"
"Mobile User Interface Engineer","$127,257/yr","Range: $126K - $191K"
"Platform Manager","$139,601/yr","Range: $134K - $140K"
"Safety Specialist","$95,000/yr","Range: $78K - $97K"
"Administrative Assistant - Hourly","$37/hr","Range: $32 - $47"
"Strategic Account Manager","$118,611/yr","Range: $102K - $138K"
"Programmer","$68,112/yr","Range: $66K - $106K"
"Engineering Program Manager","$161,507/yr","Range: $146K - $182K"
"Electrical Engineer","$153,128/yr","Range: $116K - $159K"
"Producer","$115,496/yr","Range: $103K - $124K"
"Customer Service","$47,337/yr","Range: $33K - $79K"
"Human Resources","$133,040/yr","Range: $54K - $151K"
"Team Lead","$106,556/yr","Range: $86K - $115K"
"Education Manager","$94,943/yr","Range: $78K - $102K"
"User Operations Specialist","$57,026/yr","Range: $57K - $75K"
"Creative Designer","$91,390/yr","Range: $83K - $92K"
"Marketing Communications Manager","$163,499/yr","Range: $117K - $167K"
"Research Manager","$166,901/yr","Range: $137K - $205K"
"Associate Product Marketing Manager","$83,726/yr","Range: $78K - $119K"
"IOS Engineer","$153,807/yr","Range: $150K - $162K"
"Software Engineer() - Intern","$91,450/yr","Range: $90K - $103K"
"Optical Engineer","$127,377/yr","Range: $124K - $130K"
"Recruiting Manager","$159,599/yr","Range: $153K - $166K"
"Online Marketing Specialist","$108,183/yr","Range: $108K - $108K"
"Computer Engineer","$106,255/yr","Range: $105K - $122K"
"Power Engineer","$98,936/yr","Range: $81K - $111K"
"Sales Manager","$59,219/yr","Range: $33K - $100K"
"University Recruiter","$126,446/yr","Range: $117K - $129K"
"Enterprise Support Tech","$93,000/yr","Range: $91K - $95K"
"Business Data Analyst","$96,412/yr","Range: $65K - $123K"
"Counsel","$196,861/yr","Range: $191K - $217K"
"Research Engineer","$151,870/yr","Range: $146K - $164K"
"QA Analyst","$99,227/yr","Range: $92K - $105K"
"Sourcer","$91,520/yr","Range: $78K - $121K"
"HRBP","$153,240/yr","Range: $128K - $194K"
"Front End Developer","$133,583/yr","Range: $120K - $136K"
"Product Support Specialist","$75,922/yr","Range: $64K - $112K"
"Account Management Team Lead","$100,005/yr","Range: $90K - $153K"
"Quantitative Business Analyst","$148,535/yr","Range: $128K - $149K"
"Risk Specialist - Hourly","$29/hr","Range: $28 - $29"
"Global Marketing","$109,099/yr","Range: $108K - $121K"
"Accounting Analyst","$79,718/yr","Range: $75K - $84K"
"Thermal Engineer","$138,809/yr","Range: $112K - $153K"
"Performance and Capacity Engineer","$144,355/yr","Range: $141K - $149K"
"Software Engineer() - Hourly Intern","$52/hr","Range: $39 - $53"
"Partnerships","$99,352/yr","Range: $89K - $122K"
"Mobile Operations Engineer","$139,483/yr","Range: $94K - $140K"
"IOS Developer","$110,757/yr","Range: $81K - $176K"
"Technical Support Engineer","$81,454/yr","Range: $38K - $110K"
"Facebook Software Engineering - Monthly Intern","$8,329/mo","Range: $7K - $9K"
"Partner Account Manager","$98,000/yr","Range: $62K - $121K"
"Director, Art Management","$112,809/yr","Range: $112K - $113K"
"Data Engineer - Contractor","$145,927/yr","Range: $97K - $151K"
"Washington","$123,072/yr","Range: $51K - $158K"
"Event Manager","$109,832/yr","Range: $95K - $125K"
"Project Controls Engineer","$121,386/yr","Range: $116K - $127K"
"Strategy Manager","$145,332/yr","Range: $134K - $157K"
"Communications Associate","$85,645/yr","Range: $82K - $89K"
"Market Development Manager","$112,603/yr","Range: $104K - $124K"
"Software Test Engineer","$103,129/yr","Range: $78K - $131K"
"Technical Recruiter - Hourly Contractor","$65/hr","Range: $56 - $74"
"Learning and Development Specialist","$93,647/yr","Range: $83K - $106K"
"Design Program Manager","$139,149/yr","Range: $120K - $158K"
"Risk Analyst","$137,228/yr","Range: $85K - $194K"
"Privacy Program Manager","$112,701/yr","Range: $78K - $149K"
"Ad Operations Manager","$90,736/yr","Range: $79K - $102K"
"Online Marketing Associate","$88,684/yr","Range: $85K - $93K"
"Data","$75,913/yr","Range: $53K - $101K"
"Facebook Software Engineer - Hourly","$26/hr","Range: $20 - $32"
"Oracle Database Administrator","$153,717/yr","Range: $147K - $161K"
"Instructional Designer","$126,275/yr","Range: $108K - $146K"
"Technical Project Manager - Hourly Contractor","$108/hr","Range: $75 - $144"
"Receptionist","$48,372/yr","Range: $44K - $53K"
"Software Engineer - Front End","$151,319/yr","Range: $144K - $159K"
"Human Resources Generalist","$121,864/yr","Range: $79K - $168K"
"Commerce Manager","$159,410/yr","Range: $153K - $166K"
"Media","$89,969/yr","Range: $81K - $99K"
"Network Hardware Engineer - Monthly Intern","$8,343/mo","Range: $8K - $9K"
"Software Development - Monthly Intern","$8,107/mo","Range: $8K - $9K"
"Systems Validation Engineer","$116,991/yr","Range: $112K - $121K"
"Partnership Manager","$119,949/yr","Range: $101K - $140K"
"Quality Engineer","$123,505/yr","Range: $115K - $131K"
"Sourcing Manager","$127,663/yr","Range: $121K - $135K"
"Global Business Manager","$197,267/yr","Range: $126K - $274K"
"UEX Researcher","$147,696/yr","Range: $138K - $157K"
"Strategic Sourcing Manager","$168,692/yr","Range: $137K - $205K"
"Analyst - Hourly Contractor","$21/hr","Range: $19 - $23"
"Senior Engineering Manager","$246,841/yr","Range: $221K - $273K"
"Data Analyst - Contractor","$65,629/yr","Range: $52K - $80K"
"IT Systems Analyst","$60,183/yr","Range: $53K - $67K"
"QA Manager","$156,144/yr","Range: $146K - $166K"
"Project Manager - Hourly","$33/hr","Range: $29 - $37"
"Rotational Product Manager","$118,027/yr","Range: $109K - $128K"
"Manager, IT","$181,273/yr","Range: $165K - $200K"
"Robotics Engineer","$125,454/yr","Range: $98K - $154K"
"Applications Operation Engineer","$123,270/yr","Range: $100K - $147K"
"Ad Review Analyst - Hourly Contractor","$19/hr","Range: $19 - $20"
"Director, Data Center Technician","$150,405/yr","Range: $126K - $174K"
"Beauty Advisor","$41,422/yr","Range: $36K - $47K"
"Industrial Designer","$92,936/yr","Range: $81K - $106K"
"Sales Operations Program Manager","$143,316/yr","Range: $119K - $169K"
"Data Science - Hourly Intern","$44/hr","Range: $36 - $53"
"Interaction Designer","$124,938/yr","Range: $98K - $153K"
"Ad Operations Analyst","$56,563/yr","Range: $51K - $62K"
"Program Management Manager","$126,484/yr","Range: $112K - $140K"
"Technical Program Coordinator","$122,002/yr","Range: $104K - $140K"
"Operations Analyst","$80,095/yr","Range: $71K - $90K"
"Mobile Developer","$166,132/yr","Range: $157K - $175K"
"Market Research Manager","$102,445/yr","Range: $92K - $114K"
"Ecrime Analyst","$156,825/yr","Range: $150K - $163K"
"R&D Software Engineer","$118,125/yr","Range: $101K - $137K"
"Media Operations - Contractor","$54,688/yr","Range: $51K - $59K"
"Manager, Public Policy","$142,711/yr","Range: $130K - $158K"
"Production Network Engineer","$148,396/yr","Range: $135K - $162K"
"Production Engineer - Monthly","$7,896/mo","Range: $7K - $9K"
"Healthcare Consultant Manager","$123,906/yr","Range: $118K - $132K"
"Technical Manager","$139,356/yr","Range: $133K - $147K"
"Sous Chef","$61,369/yr","Range: $58K - $65K"
"Postdoctoral Computer Engineer","$99,114/yr","Range: $95K - $105K"
"Data Analyst - Hourly Contractor","$30/hr","Range: $19 - $42"
"Junior Data Scientist","$100,882/yr","Range: $97K - $106K"
"Senior Data Engineer","$161,337/yr","Range: $147K - $176K"
"Computer Programmer","$99,746/yr","Range: $75K - $127K"
"Sales Representative","$64,362/yr","Range: $56K - $73K"
"Program Manager Mobile","$159,670/yr","Range: $141K - $182K"
"Copywriter","$108,080/yr","Range: $103K - $113K"
"Policy Manager","$128,532/yr","Range: $115K - $142K"
"Quality Specialist","$80,292/yr","Range: $73K - $89K"
"Business Operations","$100,729/yr","Range: $66K - $137K"
"Publisher Development Manager","$104,463/yr","Range: $73K - $140K"
"UI Engineer","$154,424/yr","Range: $142K - $167K"
