"jobTitle","meanPay","Range"
"Staff Financial Analyst","$107,671/yr","Range: $100K - $130K"
"Design Engineer","$96,218/yr","Range: $54K - $117K"
"Senior Packaging Engineer","$117,625/yr","Range: $110K - $121K"
"Senior Test Engineer","$106,084/yr","Range: $100K - $124K"
"Director, Program Management","$195,906/yr","Range: $107K - $212K"
"Senior Hardware Design Engineer","$119,941/yr","Range: $107K - $128K"
"Senior Applications Engineer","$109,286/yr","Range: $105K - $125K"
"Senior Process Development Engineer","$123,136/yr","Range: $120K - $134K"
"Manager","$128,920/yr","Range: $65K - $163K"
"Staff Test Engineer","$139,981/yr","Range: $125K - $154K"
"Summer - Hourly Intern","$39/hr","Range: $25 - $46"
"Software Engineer - Contractor","$93,518/yr","Range: $71K - $130K"
"Senior Database Administrator","$108,532/yr","Range: $100K - $116K"
"Project Analyst","$63,014/yr","Range: $53K - $71K"
"Senior Firmware Engineer","$120,156/yr","Range: $107K - $131K"
"Marketing Manager","$118,341/yr","Range: $89K - $174K"
"Product Engineer","$98,914/yr","Range: $90K - $109K"
"Engineer Senior","$114,888/yr","Range: $106K - $137K"
"IT Engineer, Senior Staff","$141,745/yr","Range: $134K - $157K"
"Product Test Engineer","$101,448/yr","Range: $68K - $138K"
"Interim Engineering(QCT) - Hourly Intern","$28/hr","Range: $25 - $45"
"Electrical Engineer","$96,044/yr","Range: $83K - $105K"
"Senior Accountant","$92,092/yr","Range: $84K - $101K"
"Staff Hardware Test Engineer","$141,119/yr","Range: $135K - $158K"
"ASIC Design Engineer","$109,862/yr","Range: $86K - $136K"
"Engineer Senior Staff/Manager","$163,995/yr","Range: $154K - $187K"
"Senior Director, Product Management","$236,891/yr","Range: $111K - $286K"
"Support Engineer - Hourly","$37/hr","Range: $31 - $40"
"Senior Director, Business Development","$232,543/yr","Range: $194K - $279K"
"Staff Hardware Engineer/Manager","$155,384/yr","Range: $147K - $165K"
"Support Engineer","$79,550/yr","Range: $71K - $97K"
"Senior Software QA Engineer","$118,160/yr","Range: $108K - $134K"
"Senior IT/Network Engineer","$104,250/yr","Range: $83K - $118K"
"Embedded Software Engineer","$102,227/yr","Range: $97K - $129K"
"Staff Circuit Design Engineer","$140,092/yr","Range: $129K - $157K"
"Interim Engineer - Hourly Intern","$38/hr","Range: $29 - $46"
"Database Administrator","$88,512/yr","Range: $74K - $96K"
"Staff Systems Test Engineer","$127,994/yr","Range: $118K - $147K"
"Senior Support Engineer","$95,827/yr","Range: $87K - $114K"
"Digital Design Engineer","$108,626/yr","Range: $91K - $143K"
"Intern - Monthly","$4,724/mo","Range: $2K - $7K"
"Senior Member of Technical Staff","$162,254/yr","Range: $137K - $182K"
"Software QA Engineer","$99,527/yr","Range: $88K - $110K"
"Engineer - Hourly Intern","$41/hr","Range: $30 - $45"
"Finance Manager","$125,847/yr","Range: $113K - $149K"
"Senior Systems Administrator","$108,705/yr","Range: $99K - $118K"
"Senior ASIC Design Engineer","$113,391/yr","Range: $109K - $124K"
"Business Process Analyst","$77,888/yr","Range: $75K - $125K"
"Hardware Engineer - Hourly Intern","$38/hr","Range: $29 - $51"
"Executive Assistant","$73,192/yr","Range: $53K - $102K"
"Senior Director Technology","$226,884/yr","Range: $153K - $252K"
"Senior Project Analyst","$84,389/yr","Range: $71K - $94K"
"Senior Finance Manager","$151,000/yr","Range: $139K - $157K"
"Accounting Manager","$135,205/yr","Range: $113K - $162K"
"Systems Engineer III","$98,215/yr","Range: $91K - $101K"
"Senior Hardware Engineer, II","$118,752/yr","Range: $105K - $130K"
"Staff Verification Engineer","$143,730/yr","Range: $135K - $162K"
"IT Project Manager","$101,690/yr","Range: $50K - $111K"
"Interim Software Engineering - Hourly Intern","$33/hr","Range: $24 - $38"
"Software Engineer - Hourly Contractor","$49/hr","Range: $36 - $58"
"Staff RFIC Design Engineer","$140,093/yr","Range: $125K - $146K"
"Director of Product Management","$195,758/yr","Range: $188K - $216K"
"Staff Accountant","$108,393/yr","Range: $44K - $123K"
"Director, Business Development","$202,325/yr","Range: $153K - $222K"
"Physical Design Engineer","$107,772/yr","Range: $92K - $110K"
"Senior Technical Writer","$91,607/yr","Range: $85K - $100K"
"Analog RFIC Engineer","$149,416/yr","Range: $102K - $154K"
