"jobTitle","company","meanPay"
"Marketing - Hourly Intern","Oracle","$25/hr"
"Marketing - Hourly Intern","Thermo Fisher Scientific","$17/hr"
"Marketing","Home Instead Senior Care","$39,268/yr"
"Marketing - Hourly Intern","Zendesk","$22/hr"
"Marketing - Hourly Intern","Dun & Bradstreet","$17/hr"
"Marketing","Aramark","$44,781/yr"
"Marketing - Hourly Intern","Morgan Stanley","$11/hr"
"Marketing","Thomson Reuters","$112,316/yr"
"Marketing","HomeStar Remodeling","$33,179/yr"
"Marketing - Hourly Intern","Aon","$15/hr"
"Marketing - Monthly","Power Home Remodeling","$2,235/mo"
"Marketing","SoFi","$146,566/yr"
"Marketing","WellPoint","$88,851/yr"
"Marketing","Johnson & Johnson","$82,069/yr"
"Marketing - Hourly Intern","Juniper Networks","$27/hr"
"Marketing - Hourly Intern","Zane Benefits","$11/hr"
"Marketing","StubHub","$78,886/yr"
"Marketing","Medtronic","$123,613/yr"
"Marketing","Pearson","$73,801/yr"
"Marketing","Spanx","$56,784/yr"
"Marketing","Sonova","$71,242/yr"
"Marketing","Time Warner Cable","$86,769/yr"
"Marketing","Palo Alto Networks","$133,568/yr"
"Marketing","CSS Industries","$50,366/yr"
"Marketing - Hourly Intern","Cloud Sherpas","$11/hr"
"Marketing - Hourly Intern","Cengage","$14/hr"
"Marketing - Hourly Intern","Fisher-Price","$19/hr"
"Marketing","Bloomingdale's","$59,211/yr"
"Marketing","Groupon","$43,498/yr"
"Marketing","2U","$68,625/yr"
"Marketing","Hello Innovation","$56,511/yr"
"Marketing - Hourly Intern","Anchor Bay","$10/hr"
"Marketing","Zynga","$90,926/yr"
"Marketing","Bullhorn","$51,517/yr"
"Marketing","Penton","$80,327/yr"
"Marketing","CAN Capital","$82,868/yr"
"Marketing","Citi","$55,433/yr"
"Marketing - Monthly Intern","Alcoa","$3,813/mo"
"Marketing","Tough Mudder","$63,847/yr"
"Marketing","Bayer","$99,944/yr"
"Marketing - Hourly Intern","SolidWorks","$18/hr"
"Marketing - Hourly Intern","Lionbridge","$13/hr"
"Marketing","NIKE","$100,695/yr"
"Marketing","Neustar","$116,290/yr"
"Marketing","Wolters Kluwer","$78,796/yr"
"Marketing - Hourly Intern","Mattel","$19/hr"
"Marketing - Hourly Intern","Chartwells Higher Education Dining Services","$10/hr"
"Marketing - Monthly Intern","American Accessories International","$3,439/mo"
"Marketing","Yahoo","$109,012/yr"
"Marketing - Hourly Intern","Farmers Insurance Group","$11/hr"
"Marketing","Brady","$52,517/yr"
"Marketing - Hourly Intern","Jive Software","$22/hr"
"Marketing","The Learning House","$41,132/yr"
"Marketing","Specialized Bicycle Components","$57,283/yr"
"Marketing","Identity Dental Marketing","$33,692/yr"
"Marketing - Hourly Intern","Frontier Communications","$12/hr"
