"Company","Rating","Title","Location","Salary"
"Blast Athletics","3.1","Outside Sales Rep - Sports","San Jose, CA",
"Webb Supply",,"Outside Sales Representative","Euclid, OH","$50k-$70k"
"Hallman Lindsay Paints","1.5","Sales Associate","Oconomowoc, WI","$15-$16"
"National Floors Direct","3.2","Field Sales Representative","Remote","$85k-$150k"
"PPG Paints","3.4","Store Sales Associate / Oak Hill","Austin, TX","$14-$16"
"Expert Roofing",,"Roofing Sales","Remote",
"Valve+Meter Performance Marketing","5.0","Sales and Business Development Representative","Indianapolis, IN",
"FLEETCOR","2.8","Technical Sales Consultant","Brentwood, TN",
"Orangetheory Fitness","3.7","Fitness Sales Associate","Chicago, IL",
"R Wireless","3.5","Verizon Wireless Retail Sales Representative","Garden City, NY","$12-$13"
"City View Bus Sales & Service LTD.",,"Outside Sales Representative","Remote",
"Magnet DIgital",,"Sales Representative","Howell, MI","$30k-$40k"
"Wyndham Destinations","3.2","Vacation Sales Agent","Las Vegas, NV",
"Pacific Heritage Realty & Management",,"Sales and Leasing Consultant","Ventura, CA",
"TREC - Roofing & Remodeling",,"Sales Associate","Edgewater, MD",
"Victory Lap","5.0","Sales Development Representative","Chicago, IL","$40k-$70k"
"N2 Publishing","4.7","Sales Executive (H230313)","Bon Air, VA",
"Boone Rent-All",,"Event Sales Representative","Boone, NC","$10-$15"
"Metabolic Living",,"Outbound Sales Representative","Remote",
"Pro Storm Repair Inc.",,"Sales Representative","Warminster, PA",
"Arcade Belt Co",,"Vice President of Sales","Olympic Valley, CA",
"Stamford Tent & Event Services","3.0","Sales Support Specialist","Stamford, CT",
"GEICO","3.2","Insurance Sales Representative","Fredericksburg, VA",
"Glover U",,"Sales Person","Birmingham, MI",
"Bank of Bartlett","3.8","Sales and Service Supervisor (Head Teller)","Memphis, TN",
"Fleetwing llc","3.8","Outside Sales Representative","Remote",
"Modern Manufacturing Services, LLC.",,"Regional Sales Representative","Farmington, NY",
"Mattress Liquidators",,"Sales Professional","Springfield, IL","$40k-$55k"
"Meadow Lark",,"Sales Representative","Billings, MT",
"Central Tub Refinishing, Inc.",,"Sales Representative","Pittsburgh, PA",
"9Round","3.7","Personal Trainer/sales","New Braunfels, TX",
"Telecomm Wizards, inc.",,"Business 2 Business Sales Professional","Fort Worth, TX",
"America's Choice Real Estate","4.0","Commercial & Apartment Building Sales","Seattle, WA",
"Martellaro Marble & Granite",,"Sales and Office Administrator","Jefferson City, MO",
"National Time & Signal","2.3","Inside Sales Representative","Oak Park, MI","$25k-$35k"
"Petland Hoffman Estates",,"Retail Sales Associate - Fish Specialist","Hoffman Estates, IL",
