date,employee_title,location,employee_status,review_title,years_at_company,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt
Fri Aug 30 2019 13:11:45 GMT-0700 (Pacific Daylight Time), Account Manager ,"San Francisco, CA",Current Employee ,"Amazing Company Culture, Benefits, and Opportunity for Early in Career",I have been working at Cisco Systems full-time for more than 5 years,," The company culture is incredible (I can count on 1 hand the people I've met in 5 years that I haven't liked or thought weren't a good fit). 
- There are plenty of opportunities for movement within the company and most people are willing to help
- Amazing opportunities for early in career (I went through the CSAP ASR sales program and it has been a fast track into major account management)
-Company values the opinions and work of early in career (have had meetings w/ VP's who treat you as an equal)
- 401K, ESPP, travel (if desired), unlimited trainings (on both technology/career growth), team building/volunteer events, intramural, etc.
- For a 70K person company, they do an amazing job keeping a family like feel
- Compensation for sales reps are above industry standards and AM's are typically goaled within reason.
- Work from home, own your own schedule, no micromanagement.","I have not had a bad experience in my 5 years at Cisco. This company has fast tracked my career and has given me the flexibility to travel back home frequently to visit my family after a tragedy. 

Like any company or role, your manager controls your happiness and quality of day to day life and the bad managers at this company in sales are few and far between.

There are a small list of companies I'd ever consider leaving Cisco for and it would take quite the offer.","Keep empowering your employees, taking opinions from everyone, and keeping the family first company culture mentality.",5.0,5.0,5.0,5.0,5.0,5.0
Thu Aug 29 2019 12:23:31 GMT-0700 (Pacific Daylight Time), NOC Engineer,"Research Triangle Park, NC",Current Employee ,Great company if you are a permanent employee,I have been working at Cisco Systems full-time for more than a year,,"Great work life balance, Gym on site, Cutting edge tech, Great labs",Very hard to become permanent employee,Stop using contract companies if you want to keep good people.,5.0,5.0,4.0,4.0,4.0,3.0
Tue Aug 27 2019 18:36:10 GMT-0700 (Pacific Daylight Time), Senior Software Engineer,"San Jose, CA",Current Employee ,Great company with good salary,I have been working at Cisco Systems full-time for more than 8 years,,It has very strong employee focused policies,highly political team with Limited growth,,5.0,5.0,4.0,3.0,4.0,4.0
Tue Sep 10 2019 08:01:37 GMT-0700 (Pacific Daylight Time), Technical Leader,"Raleigh, NC",Current Employee ,Love Where You Work Cisco!,I have been working at Cisco Systems full-time for more than 8 years,,Salary is great! We are empowered to do our jobs with minimal BS,The constant reorgs in the last 2 years leaves me wondering what the strategy for my department is,,4.0,2.0,4.0,5.0,5.0,2.0
Sat Sep 07 2019 11:05:04 GMT-0700 (Pacific Daylight Time), Software Engineering Manager,"San Jose, CA",Current Employee ,Company review,I have been working at Cisco Systems full-time for more than 8 years,1,Good place to work with flexible hours.,Lot of weekend work and night meetings due to globalization.,None,4.0,1.0,3.0,5.0,3.0,2.0
Mon Sep 09 2019 14:25:47 GMT-0700 (Pacific Daylight Time), Software Engineer,"San Jose, CA",Current Employee ,Good place if you find the right team,I have been working at Cisco Systems full-time for less than a year,,Good Work life Balance and amenities,Often team matching is not done correctly,,3.0,,,,,
Sat Aug 24 2019 10:47:22 GMT-0700 (Pacific Daylight Time), Lab Administrator,"Fulton, MD",Former Employee ,The Bridge to Possible,I worked at Cisco Systems full-time for more than a year,,"Intelligent people of diverse backgrounds
-Able to make a change through hard work a dedication
-Special Operations
-Great Amenities 
-More than technology","It's in Maryland
-Tit for tat strategies but I think It's mostly isolated to individual perspectives and not necessarily brand concept","I think they have all the right checks and balances in place to accurately assess and mitigate most situations.
Great engineering practices.
Beware of visa workers as they could potentially pose the biggest security risk to U.S. interest and values.",5.0,5.0,4.0,5.0,5.0,5.0
Thu Sep 05 2019 14:29:37 GMT-0700 (Pacific Daylight Time), Business Operations Manager,"San Jose, CA",Former Employee ,Reviewing Cisco systems,I worked at Cisco Systems full-time for more than 10 years,1,"Great benefits
Can work from home",Too much politics and less opportunity for career progress,,3.0,3.0,2.0,2.0,5.0,2.0
Thu Sep 05 2019 21:53:26 GMT-0700 (Pacific Daylight Time), Program Manager,"San Jose, CA",Current Employee ,"Great benefits, but continuous transformation is draining",I have been working at Cisco Systems full-time for more than 10 years,2,"Excellent benefits, telecommuting, cafeterias in larger campuses.","The dark side of innovation and transformation is the continuous churn in organizations struggling to define themselves, and justify or and defend their relevancy. Promoting leaders who think leadership is more about intellectual posturing than delivering something of value, and not having the courage to make the really tough decisions, leaving teams languishing without support","Take a good look at who you’re promoting to lead your organizations and look at what they are actually delivering, not just at their ability to talk a good game. Watch out for the continuous churn from reorgs that unsettles teams and interferes with their ability to deliver results or value. And, when things are no longer working for the company, the customers, or the employees, have the courage to take the necessary steps quickly, cleanly, and respectfully.",2.0,4.0,4.0,3.0,5.0,1.0
Thu Sep 05 2019 21:53:26 GMT-0700 (Pacific Daylight Time), Program Manager,"San Jose, CA",Current Employee ,"Great benefits, but continuous transformation is draining",I have been working at Cisco Systems full-time for more than 10 years,2,"Excellent benefits, telecommuting, cafeterias in larger campuses.","The dark side of innovation and transformation is the continuous churn in organizations struggling to define themselves, and justify or and defend their relevancy. Promoting leaders who think leadership is more about intellectual posturing than delivering something of value, and not having the courage to make the really tough decisions, leaving teams languishing without support","Take a good look at who you’re promoting to lead your organizations and look at what they are actually delivering, not just at their ability to talk a good game. Watch out for the continuous churn from reorgs that unsettles teams and interferes with their ability to deliver results or value. And, when things are no longer working for the company, the customers, or the employees, have the courage to take the necessary steps quickly, cleanly, and respectfully.",2.0,4.0,4.0,3.0,5.0,1.0
