"jobTitle","meanPay","Range"
"Sales","$106,086/yr","Range: $42K - $202K"
"Research Scientist","$152,735/yr","Range: $14K - $206K"
"Senior I/T Specialist","$112,130/yr","Range: $81K - $152K"
"Senior Software Engineering Manager","$157,721/yr","Range: $127K - $211K"
"Development Engineer","$106,344/yr","Range: $72K - $122K"
"Product Marketing Manager","$128,117/yr","Range: $77K - $178K"
"Front End Developer","$83,732/yr","Range: $44K - $131K"
"Associate Systems Engineer","$76,903/yr","Range: $62K - $88K"
"Visual Designer","$78,928/yr","Range: $68K - $100K"
"Sales Executive","$146,525/yr","Range: $54K - $202K"
"Engineer","$101,655/yr","Range: $54K - $184K"
"Account Manager","$99,089/yr","Range: $49K - $162K"
"Senior Technical Staff Member","$186,540/yr","Range: $145K - $242K"
"Sales Manager","$147,140/yr","Range: $91K - $213K"
"Client Representative","$91,379/yr","Range: $56K - $154K"
"Hardware Engineer","$88,335/yr","Range: $73K - $109K"
"Senior Engineering Manager","$155,410/yr","Range: $125K - $189K"
"Applications Development Specialist","$45,107/yr","Range: $43K - $63K"
"Technical Consultant","$76,241/yr","Range: $47K - $120K"
"Technical Sales Manager","$150,096/yr","Range: $111K - $203K"
"SAP ABAP Technical Consultant","$70,958/yr","Range: $62K - $99K"
"Business Systems Analyst","$76,815/yr","Range: $50K - $136K"
"Band 8 Software Engineer","$129,260/yr","Range: $103K - $143K"
"Business Development Manager","$132,578/yr","Range: $79K - $209K"
"Data Analyst","$74,721/yr","Range: $35K - $117K"
"Devops Engineer","$111,984/yr","Range: $83K - $144K"
"Senior Analyst","$87,233/yr","Range: $63K - $130K"
"Senior Solutions Architect","$143,106/yr","Range: $100K - $227K"
"Test Engineer","$77,230/yr","Range: $60K - $119K"
"Senior Hardware Engineer","$140,668/yr","Range: $107K - $162K"
"Senior IT Consultant","$104,505/yr","Range: $76K - $181K"
"Systems Service Representative","$47,705/yr","Range: $30K - $73K"
"Associate Project Manager","$80,116/yr","Range: $53K - $111K"
"Software Development Manager","$131,805/yr","Range: $102K - $198K"
"Architect","$105,998/yr","Range: $78K - $202K"
"Test Analyst","$68,705/yr","Range: $65K - $79K"
"Senior Application Programmer","$77,781/yr","Range: $65K - $93K"
"Financial Analyst - Hourly Intern","$20/hr","Range: $16 - $29"
"IBM Program Manager","$108,812/yr","Range: $54K - $184K"
"SSR - Support Services Representative","$56,340/yr","Range: $35K - $88K"
"Software Architect","$145,126/yr","Range: $118K - $195K"
"Technical Support Specialist","$62,839/yr","Range: $32K - $133K"
"Technical Architect","$102,787/yr","Range: $75K - $142K"
"Senior Technical Consultant","$100,453/yr","Range: $73K - $166K"
"Senior Managing Consultant - Strategy","$180,428/yr","Range: $122K - $233K"
"Onsite Technical Lead","$77,221/yr","Range: $66K - $90K"
"Staff Software Engineering","$94,293/yr","Range: $83K - $112K"
"Advisory Architect","$123,177/yr","Range: $82K - $141K"
"Security Manager","$46,858/yr","Range: $39K - $109K"
"Data Specialist","$68,089/yr","Range: $55K - $88K"
"Information Developer","$80,548/yr","Range: $60K - $124K"
"I/T Specialist","$75,361/yr","Range: $51K - $119K"
"Programmer Analyst","$82,407/yr","Range: $53K - $117K"
"Executive IT Architect","$183,776/yr","Range: $138K - $236K"
"Technical Project Manager","$99,245/yr","Range: $71K - $140K"
"IT Program Manager","$115,158/yr","Range: $78K - $168K"
"Product Designer","$81,474/yr","Range: $69K - $118K"
"Senior Business Analyst","$90,261/yr","Range: $72K - $131K"
"Delivery Manager","$80,919/yr","Range: $59K - $132K"
"Supply Chain","$82,073/yr","Range: $75K - $96K"
"Software Designer","$80,483/yr","Range: $67K - $122K"
"Developer","$67,188/yr","Range: $59K - $84K"
"Accounting Analyst","$63,312/yr","Range: $58K - $83K"
"Advisory Engineer/Scientist","$116,640/yr","Range: $106K - $137K"
"Software Engineering Manager","$136,486/yr","Range: $100K - $171K"
"Technical Sales","$105,707/yr","Range: $83K - $145K"
"Analytics Consultant","$85,721/yr","Range: $68K - $103K"
"Technical Specialist","$79,394/yr","Range: $65K - $135K"
"Distinguished Engineer","$229,955/yr","Range: $192K - $279K"
"Solutions Sales Specialist","$165,147/yr","Range: $72K - $191K"
"Business Operations Manager","$114,030/yr","Range: $74K - $156K"
"Senior Systems Administrator","$84,536/yr","Range: $74K - $132K"
"Strategy Consultant","$90,071/yr","Range: $70K - $184K"
"Recruiter II","$52,831/yr","Range: $41K - $68K"
"Process Engineer","$93,248/yr","Range: $72K - $143K"
"Java Developer","$77,220/yr","Range: $44K - $92K"
"Project Lead","$84,546/yr","Range: $66K - $103K"
"Data Architect","$93,914/yr","Range: $76K - $121K"
"Software Engineering - Hourly Intern","$26/hr","Range: $21 - $42"
"Associate IT Architect","$85,943/yr","Range: $72K - $129K"
"Engagement Manager","$133,041/yr","Range: $120K - $142K"
"Subject Matter Expert","$53,124/yr","Range: $49K - $100K"
"Business Development Representative","$75,737/yr","Range: $52K - $111K"
"Windows Systems Administrator","$63,926/yr","Range: $46K - $80K"
"SAP BI Consultant","$82,909/yr","Range: $75K - $108K"
"Test Manager","$77,691/yr","Range: $73K - $101K"
"Infrastructure Architect","$115,452/yr","Range: $99K - $141K"
"Advisory Development Engineer","$114,493/yr","Range: $97K - $142K"
"Senior Technical Support Engineer","$98,952/yr","Range: $49K - $147K"
"Pre-Sales Engineer","$123,695/yr","Range: $108K - $153K"
"Staffing Consultant","$58,329/yr","Range: $53K - $97K"
"Sales Engineer","$111,996/yr","Range: $81K - $160K"
"Software Sales Specialist","$88,838/yr","Range: $61K - $153K"
"Senior IT Project Manager","$135,608/yr","Range: $103K - $178K"
"Entry Level Software Engineer","$88,480/yr","Range: $73K - $112K"
"SAP SD Consultant","$86,327/yr","Range: $65K - $107K"
"Cloud Engineer","$122,149/yr","Range: $105K - $143K"
"Senior Data Scientist","$139,049/yr","Range: $96K - $194K"
"Sales Support Specialist","$70,794/yr","Range: $56K - $106K"
"Senior Managing Consultant Manager","$167,442/yr","Range: $155K - $212K"
"Release Manager","$95,213/yr","Range: $84K - $135K"
"Software Development Engineer","$102,611/yr","Range: $72K - $144K"
"Senior Architect","$153,792/yr","Range: $99K - $176K"
"Product Specialist","$79,432/yr","Range: $72K - $95K"
"Security Architect","$99,249/yr","Range: $91K - $154K"
"Entry Level Data Scientist","$104,996/yr","Range: $89K - $133K"
"Advisory I/T Specialist","$91,229/yr","Range: $80K - $119K"
"Communications Manager","$114,797/yr","Range: $96K - $171K"
"Security Consultant","$77,191/yr","Range: $65K - $98K"
"Software Development - Hourly Intern","$26/hr","Range: $20 - $34"
"Enterprise Sales","$137,583/yr","Range: $129K - $166K"
"Enterprise Architect","$129,943/yr","Range: $116K - $162K"
"Compliance Manager","$89,426/yr","Range: $78K - $133K"
"Operations Manager","$107,445/yr","Range: $79K - $175K"
"Software Test Engineer","$85,116/yr","Range: $70K - $126K"
"Technical Support","$56,628/yr","Range: $48K - $120K"
"Senior Software Development Manager","$158,623/yr","Range: $128K - $196K"
"Data Engineer","$102,085/yr","Range: $96K - $124K"
"SAP FI/CO Consultant","$81,428/yr","Range: $43K - $108K"
