"jobTitle","meanPay","Range"
"Software Engineer - Hourly Contractor","$56/hr","Range: $43 - $82"
"Staff Business Systems Analyst","$126,895/yr","Range: $113K - $158K"
"Senior Software As Engineer","$120,156/yr","Range: $117K - $165K"
"Oracle Database Administrator","$119,558/yr","Range: $118K - $141K"
"Senior Communications Manager","$162,337/yr","Range: $132K - $181K"
"Rotational Development Program Associate","$75,566/yr","Range: $65K - $79K"
"Sales Representative","$41,584/yr","Range: $33K - $72K"
"Software Engineering Co-op - Hourly Intern","$33/hr","Range: $30 - $37"
"Software Developer","$102,559/yr","Range: $72K - $125K"
"Product Management Director","$220,520/yr","Range: $208K - $305K"
"Senior Visual Designer","$132,269/yr","Range: $106K - $147K"
"Principal Product Manager","$182,285/yr","Range: $161K - $196K"
"Senior User Interface Designer","$115,347/yr","Range: $100K - $159K"
"Software QA Engineer","$106,457/yr","Range: $96K - $121K"
"Senior Software Test Engineer","$144,248/yr","Range: $105K - $163K"
"Senior Accountant","$91,006/yr","Range: $85K - $94K"
"Marketing Director","$213,155/yr","Range: $162K - $235K"
"Data Analyst","$98,883/yr","Range: $82K - $126K"
"Technical Program Manager","$128,853/yr","Range: $111K - $218K"
"Sales","$58,477/yr","Range: $30K - $92K"
"Senior DevOps Engineer","$146,053/yr","Range: $120K - $190K"
"Sr. Software Engineer","$143,637/yr","Range: $105K - $167K"
"Applications Operations Engineer","$89,719/yr","Range: $77K - $136K"
"Engineer","$115,309/yr","Range: $98K - $164K"
"Architect","$171,595/yr","Range: $133K - $221K"
"Inside Sales Manager","$81,572/yr","Range: $65K - $90K"
"Tax Support Specialist - Hourly","$18/hr","Range: $16 - $19"
"Enterprise Architect","$182,621/yr","Range: $165K - $197K"
"Devops Engineer","$140,861/yr","Range: $113K - $174K"
"Staff Business Data Analyst","$117,666/yr","Range: $106K - $129K"
"Staff Software Development Manager","$182,896/yr","Range: $168K - $234K"
"Principal Engineer","$208,878/yr","Range: $171K - $262K"
"Senior Software Development Engineer","$151,433/yr","Range: $138K - $170K"
"Product Support Specialist - Hourly","$17/hr","Range: $11 - $20"
"Principal User Experience Designer","$170,240/yr","Range: $144K - $193K"
"Sales Consultant II","$45,194/yr","Range: $32K - $70K"
"Senior Development Manager","$162,444/yr","Range: $147K - $200K"
"Staff Technical Program Manager","$151,229/yr","Range: $141K - $176K"
"Manager II","$162,337/yr","Range: $80K - $182K"
"Service & Support Specialist - Hourly","$17/hr","Range: $16 - $23"
"Product Management - Hourly Intern","$35/hr","Range: $32 - $35"
"Performance Coach","$56,990/yr","Range: $37K - $68K"
"Technical Lead","$155,579/yr","Range: $92K - $156K"
"Vice President","$324,199/yr","Range: $308K - $373K"
"Product Designer","$123,600/yr","Range: $108K - $157K"
"Data Engineer","$96,685/yr","Range: $84K - $103K"
"Technical Sales Manager","$96,224/yr","Range: $89K - $113K"
"Information Security Analyst","$151,525/yr","Range: $147K - $152K"
"Vice President Engineering","$369,928/yr","Range: $255K - $402K"
"Senior Site Reliability Engineer","$139,198/yr","Range: $132K - $153K"
"Senior Quality Engineer","$141,980/yr","Range: $128K - $148K"
"Technical Support Representative","$44,050/yr","Range: $37K - $48K"
"Technical Writer","$66,047/yr","Range: $64K - $82K"
"Sales Consultant II - Hourly","$17/hr","Range: $16 - $25"
"Senior Web Marketing Manager","$133,428/yr","Range: $119K - $153K"
"Senior Performance Engineer","$127,888/yr","Range: $119K - $144K"
"Customer Service and Support Specialist","$37,315/yr","Range: $30K - $48K"
"Senior Data Analyst","$132,469/yr","Range: $106K - $141K"
"Sales Consultant - Hourly","$17/hr","Range: $15 - $20"
"Senior SCM Engineer","$111,614/yr","Range: $88K - $123K"
"Software Engineer I - Hourly","$49/hr","Range: $44 - $57"
"Administrative Assistant","$47,519/yr","Range: $42K - $61K"
"Solutions Architect","$157,131/yr","Range: $141K - $200K"
"Application Developer","$98,360/yr","Range: $86K - $122K"
"Associate Data Scientist","$126,058/yr","Range: $115K - $146K"
"Sales Associate","$42,287/yr","Range: $41K - $43K"
"Senior Data Engineer","$140,106/yr","Range: $107K - $158K"
"Social Media Manager","$96,422/yr","Range: $83K - $103K"
"Payroll Specialist","$39,340/yr","Range: $38K - $62K"
"Experienced Data Entry Clerk","$39,987/yr","Range: $35K - $42K"
"Systems Engineering Manager","$149,973/yr","Range: $139K - $175K"
"Technical Support Engineer - Hourly","$30/hr","Range: $17 - $34"
"Senior Executive Assistant","$111,813/yr","Range: $106K - $128K"
"Manager III","$143,780/yr","Range: $133K - $193K"
"Data Warehouse Architect","$127,334/yr","Range: $127K - $131K"
"Senior Finance Leader","$175,693/yr","Range: $129K - $179K"
"Senior Account Manager","$117,535/yr","Range: $68K - $130K"
"Web Developer - Hourly Contractor","$59/hr","Range: $39 - $83"
"Program Management Manager","$114,255/yr","Range: $100K - $124K"
"Software Engineer() - Hourly","$38/hr","Range: $37 - $40"
"Senior Analyst","$124,030/yr","Range: $100K - $142K"
"Systems Analyst","$176,994/yr","Range: $95K - $177K"
"Human Resources Director","$218,925/yr","Range: $199K - $238K"
"Software Developer Co-Op - Hourly Intern","$35/hr","Range: $32 - $39"
"Sourcing Manager","$91,360/yr","Range: $85K - $111K"
"Software Development Manager","$165,283/yr","Range: $151K - $194K"
"Intuit Web Advisor - Hourly","$16/hr","Range: $16 - $17"
"Scrum Master","$137,447/yr","Range: $131K - $139K"
"Senior Service and Support Specialist","$50,358/yr","Range: $48K - $57K"
"HR Business Partner","$94,321/yr","Range: $81K - $114K"
"Data Architect","$181,007/yr","Range: $127K - $207K"
"Senior Security Analyst","$129,339/yr","Range: $112K - $172K"
"Business Development Manager","$127,039/yr","Range: $65K - $151K"
