"jobTitle","meanPay","Range"
"Senior Member of Technical Staff, QA","$133,868/yr","Range: $122K - $147K"
"Senior Network Engineer","$149,629/yr","Range: $114K - $154K"
"Senior Quality Engineer","$139,542/yr","Range: $131K - $149K"
"Consultant","$100,207/yr","Range: $59K - $105K"
"Mid Market Account Executive","$81,160/yr","Range: $79K - $84K"
"Interaction Designer","$124,702/yr","Range: $112K - $131K"
"Principal Consultant","$139,897/yr","Range: $132K - $153K"
"Sales Account Executive","$80,753/yr","Range: $40K - $117K"
"Senior Product Designer","$157,776/yr","Range: $121K - $172K"
"Principal Solutions Engineer","$164,747/yr","Range: $157K - $180K"
"Senior User Experience Designer","$142,210/yr","Range: $91K - $173K"
"IT Manager","$126,187/yr","Range: $110K - $157K"
"Associate QA Engineer","$114,992/yr","Range: $105K - $124K"
"Software Architect","$244,299/yr","Range: $149K - $266K"
"Software Developer - Hourly Intern","$40/hr","Range: $36 - $47"
"Enterprise Account Manager","$108,940/yr","Range: $101K - $132K"
"Vice President Engineering","$307,829/yr","Range: $231K - $349K"
"Vice President, Enterprise Sales","$223,208/yr","Range: $188K - $258K"
"Developer","$72,289/yr","Range: $58K - $89K"
"Corporate Account Executive","$82,389/yr","Range: $41K - $124K"
"Lead Technical Writer","$151,340/yr","Range: $147K - $163K"
"Lead Member of Technical Staff Software Development","$168,098/yr","Range: $156K - $182K"
"Program Architect","$163,273/yr","Range: $147K - $181K"
"Lead Member of the Technical Staff","$175,746/yr","Range: $168K - $196K"
"MTS1 Software Engineer","$124,186/yr","Range: $92K - $167K"
"Member of Technical Staff, Senior Quality Engineer","$133,581/yr","Range: $125K - $151K"
"Director, Marketing","$184,356/yr","Range: $141K - $202K"
"Account Executive - Small/Medium Business (SMB)","$71,581/yr","Range: $56K - $153K"
"Regional Vice President","$183,554/yr","Range: $136K - $222K"
"Director, Financial Management","$138,641/yr","Range: $129K - $167K"
"User Experience Researcher","$97,116/yr","Range: $76K - $192K"
"Senior Software Engineering Manager","$183,451/yr","Range: $159K - $216K"
"Product Designer","$134,941/yr","Range: $130K - $148K"
"Business Operations Manager","$132,482/yr","Range: $101K - $161K"
"Lead User Experience Designer","$148,561/yr","Range: $137K - $185K"
"Lead Network Engineer","$172,958/yr","Range: $163K - $202K"
"Senior Project Manager","$159,503/yr","Range: $111K - $216K"
"Recruiter","$83,728/yr","Range: $42K - $118K"
"Technical Support Engineer","$70,481/yr","Range: $42K - $101K"
"Senior Engineering Manager","$195,639/yr","Range: $173K - $207K"
"Associate Performance Engineer","$116,640/yr","Range: $111K - $119K"
"Senior Director, Product Marketing","$225,718/yr","Range: $173K - $261K"
"Technical Business Analyst","$88,986/yr","Range: $71K - $106K"
"Senior Recruiter","$134,198/yr","Range: $108K - $141K"
"Senior Consulting Software Engineer","$117,764/yr","Range: $101K - $136K"
"Network Engineer","$117,265/yr","Range: $98K - $165K"
"Member of Technical Staff QE","$121,204/yr","Range: $117K - $123K"
"Lead Member of Technical Staff Quality Engineering","$156,573/yr","Range: $153K - $160K"
"Sales Recruiter","$109,482/yr","Range: $43K - $147K"
"Smts","$145,574/yr","Range: $131K - $156K"
"Operations Manager","$132,099/yr","Range: $106K - $163K"
"Director, Engagement Management","$192,969/yr","Range: $178K - $203K"
"Site Reliability Engineer","$128,930/yr","Range: $74K - $156K"
"Director, Healthcare Consulting","$129,648/yr","Range: $118K - $133K"
"Software Development - Hourly Intern","$40/hr","Range: $37 - $50"
"Technical Writer","$101,656/yr","Range: $73K - $107K"
"Member of Technical Staff (Quality Assurance)","$121,710/yr","Range: $116K - $123K"
"Senior Solution Engineer","$120,763/yr","Range: $79K - $144K"
"Small Business Account Executive","$55,584/yr","Range: $52K - $72K"
"Technical Solution Architect","$146,983/yr","Range: $138K - $157K"
"Associate Member of Technical Staff (Quality Engineer)","$117,516/yr","Range: $98K - $136K"
"Corporate Counsel","$140,644/yr","Range: $107K - $203K"
"Director, Software Engineering","$215,194/yr","Range: $196K - $235K"
"Systems Specialist","$87,759/yr","Range: $76K - $111K"
"Recruiting Manager","$151,013/yr","Range: $53K - $173K"
"Technical Account Manager","$118,743/yr","Range: $97K - $153K"
"Senior Director Marketing","$209,769/yr","Range: $204K - $254K"
"Information Security Director","$167,496/yr","Range: $157K - $199K"
"Marketing Specialist","$70,219/yr","Range: $54K - $87K"
"Salesforce Administrator","$81,114/yr","Range: $60K - $126K"
"Senior Technical Recruiter","$130,971/yr","Range: $106K - $146K"
"Recruiting Coordinator","$53,731/yr","Range: $51K - $70K"
"Technical Support Manager","$120,249/yr","Range: $91K - $164K"
"Advertising Account Executive","$67,033/yr","Range: $63K - $74K"
"Senior Developer Support Engineer","$121,442/yr","Range: $108K - $124K"
"Operations Analyst","$62,159/yr","Range: $54K - $66K"
"Senior Accountant","$92,059/yr","Range: $78K - $95K"
"SMTS, Quality Engineer","$150,573/yr","Range: $134K - $156K"
"AMTS Software Engineer","$127,387/yr","Range: $75K - $130K"
"Client Advocate","$52,528/yr","Range: $45K - $85K"
"Technical Consultant","$114,447/yr","Range: $103K - $129K"
"Associate Member of Technical Staff (Software Quality Engineer)","$116,595/yr","Range: $115K - $117K"
"Business Development Manager","$101,448/yr","Range: $66K - $172K"
"Business Development Representative Apprentice","$54,237/yr","Range: $52K - $60K"
"Global Service Desk Analyst - Hourly","$25/hr","Range: $21 - $39"
"Senior Technical Architect","$157,566/yr","Range: $135K - $168K"
"Recruiting Coordinator - Hourly","$26/hr","Range: $20 - $31"
"Senior Data Engineer","$150,641/yr","Range: $140K - $183K"
"Software Development Manager","$168,027/yr","Range: $152K - $192K"
"Oracle Database Administrator","$127,699/yr","Range: $74K - $152K"
"Associate Product Security Engineer","$116,595/yr","Range: $115K - $117K"
"Associate Member of Technical Staff (IT Quality Engineer)","$111,157/yr","Range: $106K - $125K"
"Marketing Consultant","$98,903/yr","Range: $71K - $103K"
"Software Engineer In Quality","$110,989/yr","Range: $106K - $114K"
"Sales Strategy Manager","$141,866/yr","Range: $134K - $146K"
"Administrative Assistant","$61,217/yr","Range: $46K - $80K"
"Senior USer Researcher","$143,338/yr","Range: $123K - $156K"
"Director, Technical Program Management","$215,894/yr","Range: $203K - $243K"
"Deployment Specialist","$53,906/yr","Range: $44K - $70K"
"Senior Business Systems Analyst","$101,836/yr","Range: $90K - $118K"
"Business Operations Analyst","$76,209/yr","Range: $72K - $89K"
"Data Analyst","$87,274/yr","Range: $56K - $99K"
"Senior Director Engineering","$219,786/yr","Range: $199K - $237K"
"Security Engineer","$133,657/yr","Range: $109K - $144K"
"Product Security Engineer","$135,806/yr","Range: $108K - $147K"
"Account Manager","$81,298/yr","Range: $39K - $113K"
"Senior UI Engineer","$124,310/yr","Range: $97K - $146K"
"Systems Engineer","$104,660/yr","Range: $103K - $182K"
"Accounts Executive","$80,758/yr","Range: $77K - $105K"
"Associate Consultant","$72,178/yr","Range: $54K - $77K"
"QA Engineer - Hourly Intern","$40/hr","Range: $36 - $46"
"Architect","$212,754/yr","Range: $105K - $260K"
"Associate Product Manager","$76,196/yr","Range: $72K - $132K"
"Senior Infrastructure Engineer","$141,866/yr","Range: $119K - $165K"
"Software Engineer In Test","$119,408/yr","Range: $51K - $134K"
"Software Development Engineer In Test","$125,482/yr","Range: $109K - $133K"
"Customer Success Specialist","$72,244/yr","Range: $71K - $94K"
"Technology Architect","$117,911/yr","Range: $110K - $134K"
"Vice President, Marketing","$253,356/yr","Range: $138K - $275K"
"Staff Accountant","$68,229/yr","Range: $62K - $72K"
"Sales Operations Manager","$103,669/yr","Range: $79K - $122K"
"RVP Sales","$168,858/yr","Range: $125K - $229K"
"Senior Front-End Engineer","$106,575/yr","Range: $70K - $138K"
"Vice President Product Management","$313,058/yr","Range: $252K - $320K"
"Senior Technical Support Engineer","$100,778/yr","Range: $93K - $109K"
"RVP","$215,622/yr","Range: $169K - $240K"
"Member of Technical Staff, Chatter Services","$119,403/yr","Range: $118K - $142K"
"Temporary","$40,273/yr","Range: $39K - $45K"
"Technical Producer","$93,190/yr","Range: $81K - $96K"
"Associate Product Marketing Manager","$98,557/yr","Range: $85K - $105K"
"Area Vice President Sales","$252,266/yr","Range: $218K - $280K"
"Sales Support Engineer","$75,479/yr","Range: $73K - $86K"
"Network Operations Center Engineer","$84,104/yr","Range: $65K - $89K"
"User Interface Designer","$115,438/yr","Range: $104K - $128K"
"IT Platform Specialist","$118,100/yr","Range: $115K - $127K"
"Marketing Director","$161,866/yr","Range: $139K - $198K"
"Manager, Software Engineering","$140,585/yr","Range: $140K - $165K"
"Software - Hourly Intern","$40/hr","Range: $38 - $45"
"Senior Sales Executive","$130,215/yr","Range: $122K - $154K"
"Recruiting Coordinator - Hourly Contractor","$26/hr","Range: $26 - $27"
"Senior Software Engineer (Web Development)","$129,533/yr","Range: $110K - $158K"
"Associate Program Manager","$107,030/yr","Range: $96K - $119K"
"Consulting Manager","$167,905/yr","Range: $153K - $178K"
"Product Owner","$112,244/yr","Range: $105K - $119K"
"UI Engineer","$108,883/yr","Range: $98K - $125K"
"Global Account Manager","$131,844/yr","Range: $109K - $168K"
"Senior Storage Engineer","$149,053/yr","Range: $119K - $150K"
"Senior Director Product Management","$208,602/yr","Range: $202K - $221K"
"Quality Engineering Manager","$173,914/yr","Range: $102K - $181K"
"Category Manager","$120,857/yr","Range: $116K - $123K"
"Lead Systems Engineer","$180,017/yr","Range: $156K - $203K"
"Engagement Manager","$171,663/yr","Range: $155K - $209K"
"Senior Software Development Engineer In Test","$149,867/yr","Range: $126K - $158K"
"Senior Enterprise Account Executive","$127,333/yr","Range: $121K - $142K"
"Account Executive - Emerging Small Business","$58,219/yr","Range: $53K - $101K"
"Senior Vice President","$310,182/yr","Range: $258K - $400K"
"Sales Strategy Analyst","$96,319/yr","Range: $93K - $105K"
"Client Services","$56,030/yr","Range: $50K - $66K"
"Database Administrator","$103,223/yr","Range: $96K - $113K"
"Contract Specialist","$90,609/yr","Range: $65K - $129K"
"Marketing Program Manager","$127,006/yr","Range: $88K - $139K"
"Regional Sales Manager","$129,494/yr","Range: $68K - $150K"
"Business Development Representative - Hourly","$27/hr","Range: $26 - $29"
"Senior Oracle Database Administrator","$161,778/yr","Range: $151K - $174K"
"Senior IOS Engineer","$169,953/yr","Range: $157K - $183K"
"Corporate Accounts Executive","$84,864/yr","Range: $56K - $109K"
"Support","$69,574/yr","Range: $41K - $99K"
"Associate Director","$157,463/yr","Range: $112K - $203K"
"Business Development Associate","$56,004/yr","Range: $55K - $60K"
"Software Developer","$131,411/yr","Range: $127K - $140K"
"IT Database Administrator","$115,114/yr","Range: $112K - $129K"
"Senior Marketing Specialist","$95,396/yr","Range: $86K - $102K"
"Senior Product Analyst","$110,276/yr","Range: $99K - $128K"
"Director, Product Marketing","$189,529/yr","Range: $179K - $211K"
"Senior Software QA Engineer","$108,296/yr","Range: $89K - $132K"
"Senior Security Engineer","$153,972/yr","Range: $145K - $178K"
"Senior Database Administrator","$125,989/yr","Range: $109K - $148K"
"Software Engineer () - Hourly Intern","$41/hr","Range: $40 - $45"
"Senior Technical Solutions Architect","$165,654/yr","Range: $164K - $196K"
"Program Management Manager","$103,257/yr","Range: $92K - $108K"
"Salesforce Developer","$113,639/yr","Range: $61K - $153K"
"UX Designer","$117,249/yr","Range: $92K - $146K"
"Senior Performance Engineer","$138,624/yr","Range: $132K - $165K"
"Senior Director, Business Development","$232,845/yr","Range: $209K - $237K"
"Software Development Engineer - Hourly Intern","$41/hr","Range: $21 - $50"
"Senior Salesforce Developer","$152,202/yr","Range: $135K - $165K"
"Senior Campaign Manager","$95,232/yr","Range: $83K - $122K"
"Senior Technical Program Manager","$178,797/yr","Range: $176K - $198K"
"Data Scientist - Hourly Intern","$50/hr","Range: $40 - $51"
"Associate Product Security Engineer, Cloud Computing","$116,595/yr","Range: $117K - $117K"
"Senior Interaction Designer","$124,744/yr","Range: $116K - $162K"
"Salesforce Account Executive","$75,738/yr","Range: $53K - $154K"
"Software Engineer (Senior Quality Engineer)","$144,699/yr","Range: $104K - $149K"
"Summer - Hourly Intern","$23/hr","Range: $23 - $24"
"Solution Engineer","$92,140/yr","Range: $64K - $92K"
"Business Analyst Consultant","$93,527/yr","Range: $94K - $111K"
"MM AE","$83,282/yr","Range: $81K - $98K"
"Marketing","$122,993/yr","Range: $51K - $160K"
"Partner Account Manager","$67,981/yr","Range: $50K - $87K"
"Account Coordinator","$50,324/yr","Range: $49K - $51K"
"Illinois","$61,920/yr","Range: $48K - $140K"
"Pricing Manager","$120,539/yr","Range: $116K - $141K"
"Sr Manager","$160,243/yr","Range: $129K - $208K"
"Member of Technical Staff Software Development Engineer","$126,350/yr","Range: $90K - $129K"
"Sales Associate","$53,906/yr","Range: $51K - $80K"
"Senior UI Designer","$135,782/yr","Range: $113K - $145K"
"QE LMTS","$177,589/yr","Range: $164K - $179K"
"Lead Accountant","$113,366/yr","Range: $108K - $113K"
"Solutions Architect","$134,272/yr","Range: $109K - $169K"
"Linux Systems Engineer","$121,430/yr","Range: $116K - $127K"
"Senior Compensation Analyst","$113,521/yr","Range: $101K - $124K"
"Infrastructure Engineer","$118,425/yr","Range: $84K - $140K"
"Account Executive Mid-Market","$80,858/yr","Range: $81K - $91K"
"Accounting Manager","$131,724/yr","Range: $125K - $139K"
"Digital Marketing Manager","$135,341/yr","Range: $122K - $148K"
"Business Architect","$95,262/yr","Range: $85K - $137K"
"Director, Customer Success","$178,537/yr","Range: $163K - $211K"
"Senior Data Scientist","$185,627/yr","Range: $157K - $189K"
"Solutions Consultant","$115,344/yr","Range: $81K - $130K"
"Software Engineering","$78,137/yr","Range: $76K - $105K"
"Senior User Experience Researcher","$137,815/yr","Range: $99K - $145K"
"Senior Marketing Consultant","$102,350/yr","Range: $94K - $151K"
"Senior Unix Systems Engineer","$132,336/yr","Range: $132K - $141K"
"Associate Developer","$83,760/yr","Range: $79K - $85K"
"Performance Engineer - Hourly Intern","$38/hr","Range: $38 - $45"
"Account Director","$132,034/yr","Range: $129K - $133K"
"Senior Release Engineer","$142,346/yr","Range: $128K - $170K"
"Senior Applications Security Engineer","$178,493/yr","Range: $177K - $184K"
"Senior Computer Engineer","$113,020/yr","Range: $110K - $131K"
"Senior Program Management Manager","$125,622/yr","Range: $117K - $145K"
"Lead Java Developer","$143,003/yr","Range: $143K - $147K"
"Senior Systems Specialist","$93,542/yr","Range: $57K - $129K"
"Senior Technology Architect","$140,884/yr","Range: $121K - $158K"
"Technical Recruiter","$102,421/yr","Range: $92K - $104K"
"Senior Solutions Engineer - Hourly","$54/hr","Range: $51 - $61"
"Software Engineering Director","$200,185/yr","Range: $155K - $222K"
"LMTS, Software Engineering","$183,441/yr","Range: $157K - $195K"
"Analytics Manager","$125,346/yr","Range: $118K - $149K"
"Software Engineer - Hourly","$70/hr","Range: $39 - $76"
"Director Project Management","$182,540/yr","Range: $171K - $192K"
"UI Developer","$125,566/yr","Range: $107K - $150K"
"Principal Architect","$192,579/yr","Range: $172K - $288K"
"QA Engineer - Monthly Intern","$6,526/mo","Range: $6K - $8K"
