"jobTitle","company","meanPay"
"Intern - Hourly","Edward Jones","$16/hr"
"Intern - Hourly","The Coca-Cola Company","$20/hr"
"Intern - Hourly","AECOM","$18/hr"
"Intern - Hourly","Kohl's","$16/hr"
"Intern - Hourly","Northwestern Mutual","$13/hr"
"Intern - Hourly","Duke Energy","$23/hr"
"Intern - Hourly","Sandia National Laboratories","$24/hr"
"Intern - Hourly","SpaceX","$28/hr"
"Intern - Hourly","Gallagher","$16/hr"
"Intern - Hourly","Heritage Foundation","$8/hr"
"Intern - Hourly","Kellogg Company","$19/hr"
"Intern - Hourly","Protiviti","$25/hr"
"Intern - Hourly","Altria","$21/hr"
"Intern - Hourly","ExxonMobil","$42/hr"
"Intern - Hourly","Russell Investments","$19/hr"
"Intern - Hourly","MITRE","$22/hr"
"Intern - Hourly","Comcast","$20/hr"
"Intern - Hourly","NPR","$12/hr"
"Intern - Hourly","National Instruments","$20/hr"
"Intern - Monthly","SpaceX","$4,880/mo"
"Intern - Hourly","Mercer","$26/hr"
"Intern - Hourly","Jacobs","$19/hr"
"Intern - Monthly","Norfolk Southern","$3,389/mo"
"Intern - Monthly","Chevron","$5,904/mo"
"Intern - Hourly","Visa Inc.","$27/hr"
"Intern - Hourly","Microsoft","$31/hr"
"Intern - Hourly","Kiewit Corporation","$17/hr"
"Intern - Hourly","LinkedIn","$43/hr"
"Intern - Hourly","Valero Energy","$34/hr"
"Intern - Hourly","Nationwide","$18/hr"
"Intern - Hourly","Warner Bros.","$15/hr"
"Intern - Hourly","Goldman Sachs","$22/hr"
"Intern - Hourly","The Hartford","$21/hr"
"Intern - Hourly","Johnson Controls","$20/hr"
"Intern - Hourly","Raymond James Financial","$13/hr"
"Intern","CBRE","$29,268/yr"
"Intern - Hourly","Sony Pictures Entertainment","$11/hr"
"Intern - Hourly","Medtronic","$24/hr"
"Intern - Hourly","S&P Global Ratings","$17/hr"
"Intern - Hourly","Nielsen","$19/hr"
"Intern - Hourly","Symantec","$26/hr"
"Intern - Hourly","McDonald's","$20/hr"
"Intern - Hourly","Salesforce","$25/hr"
"Intern - Hourly","Crowe","$26/hr"
"Intern - Hourly","NIKE","$21/hr"
"Intern - Hourly","C.H. Robinson","$13/hr"
"Intern - Hourly","Life Technologies","$22/hr"
"Intern - Hourly","Time Inc.","$12/hr"
"Intern - Hourly","Digitas","$12/hr"
"Intern - Hourly","Honeywell","$21/hr"
"Intern - Hourly","Exelon","$21/hr"
"Intern - Hourly","T-Mobile","$22/hr"
"Intern - Hourly","Seagate Technology","$25/hr"
"Intern - Hourly","COUNTRY Financial","$17/hr"
"Intern - Hourly","Thermo Fisher Scientific","$20/hr"
"Intern - Hourly","Adobe","$32/hr"
"Intern - Monthly","Intel Corporation","$5,910/mo"
"Intern - Hourly","Procter & Gamble","$27/hr"
"Intern - Hourly","L Brands","$18/hr"
"Intern - Hourly","Sikorsky","$26/hr"
"Intern - Hourly","Georgia-Pacific","$19/hr"
"Intern - Hourly","Andersen","$27/hr"
"Intern - Hourly","GEICO","$16/hr"
"Intern - Hourly","Metropolitan Transportation Authority","$16/hr"
"Intern - Hourly","Gulfstream","$18/hr"
"Intern - Hourly","DTE Energy","$19/hr"
"Intern - Hourly","GE Healthcare","$24/hr"
"Intern - Hourly","Unilever","$21/hr"
"Intern - Hourly","Aramark","$13/hr"
"Intern - Hourly","BASF","$20/hr"
"Intern - Hourly","GE Capital","$21/hr"
"Intern - Hourly","UTC Aerospace Systems","$26/hr"
"Intern - Hourly","Roche","$20/hr"
"Intern - Hourly","TransUnion","$17/hr"
"Intern - Hourly","3M","$22/hr"
"Intern - Hourly","Golin","$13/hr"
"Intern - Hourly","Rockwell Automation","$20/hr"
"Intern - Hourly","TJX Companies","$16/hr"
