"jobTitle","meanPay","Range"
"Systems Analyst","$95,375/yr","Range: $56K - $115K"
"Director","$145,533/yr","Range: $102K - $195K"
"Personal Shopper - Hourly","$12/hr","Range: $11 - $14"
"Asset Protection Manager/Assistant Store Manager","$51,211/yr","Range: $46K - $61K"
"Overnight Cashier - Hourly","$11/hr","Range: $9 - $14"
"Unloader Associate - Hourly","$11/hr","Range: $8 - $23"
"Departmant Manager - Hourly","$15/hr","Range: $11 - $18"
"Accountant","$48,765/yr","Range: $42K - $58K"
"Meat Sales Associate - Hourly","$10/hr","Range: $8 - $13"
"Cake Decorator - Hourly","$11/hr","Range: $8 - $13"
"Deli Sales Associate - Hourly","$11/hr","Range: $9 - $15"
"Club Manager","$62,080/yr","Range: $56K - $68K"
"Grocery Stocker - Hourly","$11/hr","Range: $9 - $14"
"Sale Associate - Hourly","$10/hr","Range: $8 - $11"
"Sales Associate","$24,843/yr","Range: $11K - $70K"
"Inventory Control Specialist - Hourly","$11/hr","Range: $8 - $17"
"Unloader - Hourly","$16/hr","Range: $8 - $23"
"Cart Associate - Hourly","$9/hr","Range: $8 - $12"
"Unloader/Processor - Hourly","$18/hr","Range: $16 - $24"
"Retail Sales Associate - Hourly","$11/hr","Range: $9 - $15"
"Cart Pusher - Hourly","$10/hr","Range: $8 - $12"
"Overnight Cashier - Hourly","$11/hr","Range: $9 - $14"
"Lawn and Garden Sales Associate - Hourly","$10/hr","Range: $8 - $11"
"Wireless Sales Associate - Hourly","$11/hr","Range: $8 - $15"
"Optician - Hourly","$13/hr","Range: $10 - $17"
"Inventory Associate - Hourly","$11/hr","Range: $9 - $14"
"Wireless Sales Associate - Hourly","$11/hr","Range: $9 - $14"
"Zone Manager - Hourly","$16/hr","Range: $11 - $23"
"Electronics Department Manager - Hourly","$14/hr","Range: $10 - $18"
"Overnight Dairy/Frozen Stocker - Hourly","$11/hr","Range: $8 - $14"
"Intern - Hourly","$15/hr","Range: $9 - $32"
"Asset Protection","$38,503/yr","Range: $35K - $41K"
"Operations Manager","$70,808/yr","Range: $43K - $104K"
"Supervisor - Hourly","$15/hr","Range: $10 - $19"
"Truck Unloader - Hourly","$10/hr","Range: $8 - $15"
"Inventory Supervisor - Hourly","$12/hr","Range: $10 - $16"
"Electronic Sales Associate - Hourly","$11/hr","Range: $8 - $14"
"Graduate Pharmacist","$87,956/yr","Range: $66K - $98K"
"Jewelry Sales Associate - Hourly","$11/hr","Range: $9 - $13"
"Inventory Control Specialist - Hourly","$10/hr","Range: $9 - $13"
"CSM - Hourly","$14/hr","Range: $10 - $16"
"Maintenance Associate - Hourly","$10/hr","Range: $8 - $13"
"Produce Department Manager - Hourly","$15/hr","Range: $10 - $22"
"Bakery Associate - Hourly","$10/hr","Range: $9 - $12"
"Deli Associate - Hourly","$11/hr","Range: $9 - $16"
"Apparel Sales Associate - Hourly","$10/hr","Range: $8 - $12"
"Customer Service - Hourly","$11/hr","Range: $8 - $13"
"CAP Team Member - Hourly","$11/hr","Range: $9 - $12"
"Field Project Supervisor","$50,467/yr","Range: $38K - $63K"
"Grocery Sales Associate - Hourly","$9/hr","Range: $8 - $13"
"Meat Department Manager - Hourly","$15/hr","Range: $10 - $17"
"Maintenance Associate - Hourly","$11/hr","Range: $9 - $15"
"GM Support Manager - Hourly","$16/hr","Range: $14 - $19"
"Cashier, Customer Service, Sales Associate - Hourly","$11/hr","Range: $8 - $14"
"Loader - Hourly","$19/hr","Range: $11 - $22"
"CAP Team II Associate - Hourly","$10/hr","Range: $9 - $13"
"Unloader Associate - Hourly","$9/hr","Range: $8 - $14"
"Sale Associate - Hourly","$11/hr","Range: $8 - $15"
"Grocery Stocker - Hourly","$10/hr","Range: $8 - $12"
"Assistant  Manager","$54,737/yr","Range: $48K - $67K"
"Deli Department Manager - Hourly","$15/hr","Range: $11 - $17"
"Inventory Associate - Hourly","$10/hr","Range: $8 - $12"
"Metro Assistant Manager","$51,803/yr","Range: $47K - $63K"
"Receiving Associate - Hourly","$12/hr","Range: $8 - $23"
"MECHANIC I","$55,021/yr","Range: $51K - $61K"
"Graduate Pharmacist","$97,750/yr","Range: $49K - $102K"
"Overnight Grocery Stocker - Hourly","$11/hr","Range: $9 - $15"
"Grocery Department Manager - Hourly","$15/hr","Range: $10 - $18"
"Deli Clerk - Hourly","$11/hr","Range: $9 - $13"
"TLE Service Tech - Hourly","$11/hr","Range: $9 - $13"
"Assistant Event Manager","$54,679/yr","Range: $50K - $59K"
"Certified Pharmacy Technician","$30,421/yr","Range: $23K - $47K"
"Personal Shopper - Hourly","$12/hr","Range: $10 - $14"
"Senior Director","$195,119/yr","Range: $151K - $232K"
"VISION CENTER MANAGER - Hourly","$20/hr","Range: $17 - $29"
"Sporting Goods Sales Associate - Hourly","$11/hr","Range: $9 - $12"
"Assistant Pharmacy Manager","$142,132/yr","Range: $131K - $159K"
"Logistics Area Manager","$54,070/yr","Range: $52K - $67K"
"Over Night Stocker - Hourly","$11/hr","Range: $9 - $13"
"Replenishment Manager","$66,472/yr","Range: $51K - $102K"
"Walmart Electronic Associate - Hourly","$11/hr","Range: $9 - $13"
"O/N Dry Grocery/GM Stocker - Hourly","$11/hr","Range: $9 - $18"
"CAP Team II Associate - Hourly","$11/hr","Range: $9 - $12"
"Licensed Optician - Hourly","$23/hr","Range: $11 - $32"
"Cashiering - Hourly","$10/hr","Range: $9 - $12"
"Mechanic II","$56,658/yr","Range: $53K - $61K"
"Driver","$44,639/yr","Range: $41K - $70K"
"Software Engineer","$80,442/yr","Range: $57K - $130K"
"Bakery Associate - Hourly","$11/hr","Range: $9 - $14"
"Homelines Department Manager - Hourly","$13/hr","Range: $10 - $17"
